"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,17.07.2025 (8:30 - 14:00),,,NEXT DAY:,,18.07.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,"ID
(номер первинної черги)",Статус,Примітки
1,1661,Зайшов,,,1,1763,Відклав візит,є в TODO
2,1668,Зайшов,,,2,1815,Зайшов
3,1710,Зайшов,,,3,1831,Зайшов
4,1789,Не з'явився,last try,,4,1834,Зайшов
5,1819,Зайшов,,,5,1837,Зайшов
6,1850,Зайшов,last try,,6,1864,Не зайшов
7,1872,Зайшов,,,7,1888,Не зайшов
8,1877,Зайшов,last try,,8,1898,Не зайшов
9,1889,Зайшов,,,9,1908,Відклав візит,є в TODO
10,1890,Зайшов,,,10,1912,Не зайшов,last try
11,1934,Зайшов,,,11,1915,Не зайшов
12,1938,Зайшов,,,12,1954,Відклав візит,є в TODO
13,1961,Зайшов,last try,,13,1956,Не зайшов,last try
14,1973,Зайшов,,,14,1969,Не зайшов,список
15,1983,Зайшов,,,15,1975,Не зайшов
16,1989,Не зайшов,список,,16,1989,Не зайшов
17,1991,Не зайшов,,,17,1991,Відклав візит,є в TODO
18,2001,Не зайшов,,,18,2001,Не зайшов
19,2013,Не зайшов,,,19,2010,Не зайшов
20,2016,Не зайшов,,,20,2013,Відклав візит,є в TODO
21,2017,Не зайшов,,,21,2016,Не зайшов
22,2030,Не зайшов,,,22,2017,Не зайшов
23,2031,Не зайшов,,,23,2018,Не зайшов
24,2043,Не зайшов,,,24,2030,Відклав візит,є в TODO
25,2045,Не зайшов,,,25,2031,Не зайшов
26,2046,Не зайшов,,,26,2043,Не зайшов
27,2049,Не зайшов,,,27,2045,Не зайшов
28,2087,Відклав візит,є в TODO,,28,2046,Не зайшов
29,2099,Не зайшов,,,29,2049,Не зайшов
30,2123,Не зайшов,,,30,2053,Не зайшов
31,2125,Не зайшов,,,31,2055,Не зайшов
32,2126,Не зайшов,,,32,2065,Не зайшов
33,2143,Не зайшов,,,33,2073,Не зайшов
34,2162,Не зайшов,,,34,2081,Не зайшов
35,2164,Не зайшов,,,35,2087,Відклав візит,є в TODO
36,2166,Не зайшов,,,36,2088,Не зайшов
37,2169,Не зайшов,,,37,2099,Не зайшов
38,2176,Не зайшов,,,38,2123,Не зайшов
39,2191,Не зайшов,,,39,2125,Відклав візит,є в TODO
40,2193,Не зайшов,,,40,2126,Не зайшов
41,2213,Не зайшов,,,41,2127,Відклав візит,є в TODO
42,2253,Не зайшов,,,42,2143,Не зайшов
43,2278,Не зайшов,,,43,2154,Не зайшов
44,2301,Не зайшов,,,44,2162,Не зайшов
45,2307,Не зайшов,,,45,2164,Відклав візит,є в TODO
46,2331,Не зайшов,,,46,2166,Не зайшов
47,2355,Відклав візит,є в TODO,,47,2169,Не зайшов
48,2359,Не зайшов,,,48,2170,Не зайшов
49,2383,Не зайшов,,,49,2176,Не зайшов
50,2390,Не зайшов,,,50,2178,Не зайшов
51,2425,Не зайшов,,,51,2191,Відклав візит,є в TODO
52,2460,Не зайшов,,,52,2193,Не зайшов
53,2464,Не зайшов,,,53,2197,Не зайшов
54,2479,Не зайшов,,,54,2213,Не зайшов
55,2510,Не зайшов,,,55,2222,Не зайшов
56,2518,Не зайшов,,,56,2239,Відклав візит,є в TODO
57,2530,Не зайшов,,,57,2253,Не зайшов
58,2589,Не зайшов,,,58,2265,Не зайшов
59,2589,Не зайшов,,,59,2278,Не зайшов
60,2613,Не зайшов,,,60,2283,Не зайшов
61,2652,Не зайшов,,,61,2301,Не зайшов
62,2731,Не зайшов,,,62,2303,Не зайшов
63,2736,Не зайшов,,,63,2307,Не зайшов
64,2791,Не зайшов,,,64,2331,Не зайшов
65,,,,,65,2353,Відклав візит,є в TODO
66,,,,,66,2359,Не зайшов
67,,,,,67,2383,Не зайшов
68,,,,,68,2390,Відклав візит,є в TODO
69,,,,,69,2412,Не зайшов
70,,,,,70,2425,Не зайшов
71,,,,,71,2458,Не зайшов
72,,,,,72,2460,Не зайшов
73,,,,,73,2464,Не зайшов
74,,,,,74,2479,Не зайшов
75,,,,,75,2510,Не зайшов
76,,,,,76,2518,Не зайшов
77,,,,,77,2524,Відклав візит,є в TODO
78,,,,,78,2530,Не зайшов
79,,,,,79,2589,Не зайшов
80,,,,,80,2594,Не зайшов
81,,,,,81,2613,Не зайшов
82,,,,,82,2652,Не зайшов
83,,,,,83,2691,Не зайшов
84,,,,,84,2695,Не зайшов
85,,,,,85,2715,Не зайшов
86,,,,,86,2728,Не зайшов
87,,,,,87,2731,Не зайшов,список
88,,,,,88,2736,Не зайшов
89,,,,,89,2743,Не зайшов
90,,,,,90,2791,Не зайшов
91,,,,,91
92,,,,,92
93,,,,,93
94,,,,,94
