"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,25.07.2025 (14:00 - 16:30),,,NEXT DAY:,,28.07.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1922,Зайшов,,,1,,1641,Обіцяв бути,---
2,1926,Зайшов,,,2,,1893,Обіцяв бути,---
3,1966,Відклав візит,,,3,,1963,Обіцяв бути,---
4,2005,Не з'явився,остання спроба,,4,,2004,Обіцяв бути,---
5,2013,Зайшов,,,5,,2011,Обіцяв бути,---
6,2017,Не зайшов,,,6,,2017,Обіцяв бути,---
7,2019,Зайшов,,,7,,2018,Обіцяв бути,---
8,2027,Зайшов,,,8,,2031,Обіцяв бути,---
9,2030,Відклав візит,,,9,,2043,Обіцяв бути,---
10,2032,Зайшов,,,10,,2045,Обіцяв бути,---
11,2033,Відклав візит,,,11,,2046,Обіцяв бути,---
12,2043,Не зайшов,,,12,,2049,Обіцяв бути,---
13,2045,Не зайшов,,,13,,2051,Обіцяв бути,---
14,2046,Не зайшов,,,14,,2053,Обіцяв бути,---
15,2049,Не зайшов,,,15,,2054,Обіцяв бути,---
16,2053,Не зайшов,,,16,,2055,Обіцяв бути,---
17,2055,Не зайшов,,,17,,2056,Обіцяв бути,---
18,2064,Не зайшов,,,18,,2064,Обіцяв бути,---
19,2065,Не зайшов,,,19,,2065,Обіцяв бути,---
20,2073,Не зайшов,,,20,,2071,Обіцяв бути,---
21,2087,Не зайшов,,,21,,2073,Обіцяв бути,---
22,2088,Не зайшов,,,22,,2075,Обіцяв бути,---
23,2095,Не зайшов,,,23,,2086,Обіцяв бути,---
24,2099,Не зайшов,,,24,,2087,Обіцяв бути,---
25,2114,Не зайшов,,,25,,2088,Обіцяв бути,---
26,2115,Не зайшов,,,26,,2095,Обіцяв бути,---
27,2116,Не зайшов,,,27,,2097,Обіцяв бути,---
28,2119,Не зайшов,,,28,,2099,Обіцяв бути,---
29,2121,Не зайшов,,,29,,2105,Обіцяв бути,---
30,2122,Не зайшов,,,30,,2114,Обіцяв бути,---
31,2123,Не зайшов,,,31,,2115,Обіцяв бути,---
32,2125,Не зайшов,,,32,,2116,Обіцяв бути,---
33,2126,Не зайшов,,,33,,2119,Обіцяв бути,---
34,2143,Не зайшов,,,34,,2121,Обіцяв бути,---
35,2154,Не зайшов,,,35,,2122,Обіцяв бути,---
36,2162,Не зайшов,,,36,,2123,Обіцяв бути,---
37,2166,Відклав візит,,,37,,2125,Обіцяв бути,---
38,2168,Не зайшов,,,38,,2126,Обіцяв бути,---
39,2169,Не зайшов,,,39,,2143,Обіцяв бути,---
40,2170,Не зайшов,,,40,,2154,Обіцяв бути,---
41,2176,Не зайшов,,,41,,2162,Обіцяв бути,---
42,2191,Не зайшов,,,42,,2166,Обіцяв бути,---
43,2193,Не зайшов,,,43,,2168,Обіцяв бути,---
44,2197,Не зайшов,,,44,,2169,Обіцяв бути,---
45,2199,Відклав візит,,,45,,2170,Обіцяв бути,---
46,2213,Не зайшов,,,46,,2176,Обіцяв бути,---
47,2220,Не зайшов,,,47,,2178,Обіцяв бути,---
48,2222,Не зайшов,,,48,,2191,Обіцяв бути,---
49,2239,Не зайшов,,,49,,2193,Обіцяв бути,---
50,2259,Не зайшов,,,50,,2197,Обіцяв бути,---
51,2265,Не зайшов,,,51,,2213,Обіцяв бути,---
52,2278,Не зайшов,,,52,,2220,Обіцяв бути,---
53,2283,Не зайшов,,,53,,2222,Обіцяв бути,---
54,2292,Не зайшов,,,54,,2239,Обіцяв бути,---
55,2298,Не зайшов,,,55,,2253,Обіцяв бути,---
56,2299,Не зайшов,,,56,,2259,Обіцяв бути,---
57,2301,Не зайшов,,,57,,2264,Обіцяв бути,---
58,2307,Не зайшов,,,58,,2265,Обіцяв бути,---
59,2331,Не зайшов,,,59,,2277,Обіцяв бути,---
60,2336,Не зайшов,,,60,,2278,Обіцяв бути,---
61,2347,Не зайшов,,,61,,2279,Обіцяв бути,---
62,2359,Не зайшов,,,62,,2283,Обіцяв бути,---
63,2378,Не зайшов,,,63,,2292,Обіцяв бути,---
64,2425,Не зайшов,,,64,,2298,Обіцяв бути,---
65,2458,Не зайшов,,,65,,2299,Обіцяв бути,---
