"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,16.09.2025 (10:00 - 14:00),,,NEXT DAY:,,17.09.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2792,Не з'явився,в кінець черги,,1,,2283,Обіцяв бути,---,,#N/A
2,2834,Зайшов,,,2,Остання спроба,2871,Обіцяв бути,---,,#N/A
3,2916,Зайшов,Остання спроба,,3,,2986,Обіцяв бути,---,,#N/A
4,2993,Зайшов,,,4,,3173,Обіцяв бути,---,,#N/A
5,3008,Зайшов,,,5,Остання спроба,3192,Обіцяв бути,---,,#N/A
6,3019,Зайшов,Остання спроба,,6,,3194,Обіцяв бути,---,,#N/A
7,3020,Зайшов,Остання спроба,,7,Остання спроба,3198,Обіцяв бути,---,,#N/A
8,3030,Зайшов,,,8,,3202,Обіцяв бути,---,,#N/A
9,3109,Зайшов,Остання спроба,,9,,3203,Обіцяв бути,---,,#N/A
10,3132,Не з'явився,в кінець черги,,10,,3205,Обіцяв бути,---,,#N/A
11,3143,Зайшов,Остання спроба,,11,,3207,Обіцяв бути,---,,#N/A
12,3147,Зайшов,Остання спроба,,12,3515,3210,Обіцяв бути,---,,#N/A
13,3155,Зайшов,,,13,,3213,Обіцяв бути,---,,#N/A
14,3156,Не з'явився,в кінець черги,,14,,3214,Обіцяв бути,---,,#N/A
15,3162,Не з'явився,в кінець черги,,15,,3216,Обіцяв бути,---,,#N/A
16,3169,Зайшов,,,16,,3217,Обіцяв бути,---,,#N/A
17,3173,Не зайшов,,,17,,3220,Обіцяв бути,---,,7
18,3178,Не зайшов,Остання спроба,,18,,3224,Обіцяв бути,---,,#N/A
19,3192,Не зайшов,Остання спроба,,19,,3225,Обіцяв бути,---,,8
20,3194,Не зайшов,,,20,,3227,Обіцяв бути,---,,9
21,3198,Не зайшов,Остання спроба,,21,,3233,Обіцяв бути,---,,10
22,3202,Не зайшов,Списки,,22,,3235,Обіцяв бути,---,,11
23,3203,Відклав візит,,,23,,3236,Обіцяв бути,---,,12
24,3205,Не зайшов,,,24,,3238,Обіцяв бути,---,,13
25,3210,Не зайшов,,,25,,3242,Обіцяв бути,---,,15
26,3216,Не зайшов,,,26,,3243,Обіцяв бути,---,,18
27,3217,Не зайшов,,,27,,3244,Обіцяв бути,---,,19
28,3220,Не зайшов,,,28,,3245,Обіцяв бути,---,,20
29,3224,Не зайшов,,,29,,3247,Обіцяв бути,---,,21
30,3225,Не зайшов,,,30,,3249,Обіцяв бути,---,,22
31,3227,Не зайшов,,,31,,3251,Обіцяв бути,---,,23
32,3233,Не зайшов,,,32,,3253,Обіцяв бути,---,,24
33,3235,Не зайшов,,,33,,3254,Обіцяв бути,---,,25
34,3236,Не зайшов,,,34,,3255,Обіцяв бути,---,,26
35,3238,Не зайшов,,,35,,3256,Обіцяв бути,---,,27
36,3242,Не зайшов,,,36,,3259,Обіцяв бути,---,,28
37,3243,Не зайшов,,,37,,3260,Обіцяв бути,---,,29
38,3244,Не зайшов,,,38,,3261,Обіцяв бути,---,,30
39,3245,Не зайшов,,,39,,3262,Обіцяв бути,---,,31
40,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,40,,3263,Обіцяв бути,---,,32
41,3249,Не зайшов,,,41,,3266,Обіцяв бути,---,,33
42,3253,Не зайшов,,,42,,3267,Обіцяв бути,---,,35
43,3254,Не зайшов,,,43,,3271,Обіцяв бути,---,,36
44,3255,Не зайшов,,,44,,3272,Обіцяв бути,---,,37
45,3256,Не зайшов,,,45,,3273,Обіцяв бути,---,,38
46,3260,Не зайшов,,,46,,3274,Обіцяв бути,---,,40
47,3261,Не зайшов,,,47,,3275,Обіцяв бути,---,,41
48,3262,Не зайшов,,,48,,3279,Обіцяв бути,---,,42,#N/A
49,3266,Не зайшов,,,49,,3287,Обіцяв бути,---,,44
50,3267,Не зайшов,,,50,,3288,Обіцяв бути,---,,45
51,3271,Не зайшов,,,51,,3298,Обіцяв бути,---,,46,#N/A
52,3272,Не зайшов,,,52,,3299,Обіцяв бути,---,,47
53,3273,Не зайшов,,,53,,3303,Обіцяв бути,---,,48
54,3274,Не зайшов,,,54,,3307,Обіцяв бути,---,,49
55,3275,Не зайшов,,,55,,3309,Обіцяв бути,---,,50
56,3279,Не зайшов,,,56,,3310,Обіцяв бути,---,,51
57,3287,Не зайшов,,,57,,3314,Обіцяв бути,---,,52
58,3288,Не зайшов,,,58,,3325,Обіцяв бути,---,,53
59,3298,Не зайшов,,,59,,3326,Обіцяв бути,---,,54
60,3299,Не зайшов,,,60,,3328,Обіцяв бути,---,,55
61,3303,Не зайшов,,,61,,3329,Обіцяв бути,---,,56
62,3307,Не зайшов,,,62,,3334,Обіцяв бути,---,,57
63,3309,Не зайшов,,,63,,3341,Обіцяв бути,---,,58
64,3310,Не зайшов,,,64,,3342,Обіцяв бути,---,,59
65,3314,Не зайшов,,,65,,3345,Обіцяв бути,---,,60
66,3325,Не зайшов,,,66,,3346,Обіцяв бути,---,,61
67,3326,Не зайшов,,,67,,3357,Обіцяв бути,---,,62
68,3328,Не зайшов,,,68,,3364,Обіцяв бути,---,,63
69,3329,Не зайшов,,,69,,3375,Обіцяв бути,---,,64
70,3334,Не зайшов,,,70,,3383,Обіцяв бути,---,,65
71,3341,Не зайшов,,,71,,3384,Обіцяв бути,---,,66
72,3342,Не зайшов,,,72,,3392,Обіцяв бути,---,,67
73,3345,Не зайшов,,,73,,3395,Обіцяв бути,---,,68,#N/A
74,3346,Не зайшов,,,74,,3397,Обіцяв бути,---,,69
75,3357,Не зайшов,,,75,,3399,Обіцяв бути,---,,70
76,3375,Не зайшов,,,76,,3412,Обіцяв бути,---,,72
77,3383,Не зайшов,,,77,,3426,Обіцяв бути,---,,73
78,3384,Не зайшов,,,78,,3429,Обіцяв бути,---,,74
79,3392,Не зайшов,,,79,,3431,Обіцяв бути,---,,75
80,3395,Не зайшов,,,80,,3440,Обіцяв бути,---,,76
81,3397,Не зайшов,,,81,,3447,Обіцяв бути,---,,77
82,3399,Не зайшов,,,82,,3457,Обіцяв бути,---,,78,#N/A
83,3412,Не зайшов,,,83,,3459,Обіцяв бути,---,,79
84,3426,Не зайшов,,,84,,3461,Обіцяв бути,---,,80
85,3429,Не зайшов,,,85,,3463,Обіцяв бути,---,,81
86,3431,Не зайшов,,,86,,3471,Обіцяв бути,---,,82
87,3440,Не зайшов,,,87,,3483,Обіцяв бути,---,,83
88,3447,Не зайшов,,,88,,3495,Обіцяв бути,---,,84
89,3457,Не зайшов,,,89,,3498,Обіцяв бути,---,,85
90,3459,Не зайшов,,,90,,3499,Обіцяв бути,---,,86
91,3461,Не зайшов,,,91,,3500,Обіцяв бути,---,,87
92,3463,Не зайшов,,,92,,3501,Обіцяв бути,---,,88
93,3471,Не зайшов,,,93,,3504,Обіцяв бути,---,,89
94,3483,Не зайшов,,,94,,3509,Обіцяв бути,---,,90
95,3495,Не зайшов,,,95,,3515,Обіцяв бути,---,,91
96,3498,Не зайшов,,,96,,3522,Обіцяв бути,---,,92,#N/A
97,3499,Не зайшов,,,97,,3537,Обіцяв бути,---,,93
98,3500,Не зайшов,,,98,"ваш номер 3561, замість 3562",3561,Обіцяв бути,---,,94
99,3501,Не зайшов,,,99,,3604,Обіцяв бути,---,,95
100,3504,Не зайшов,,,100,,3608,Обіцяв бути,---,,96
101,3509,Не зайшов,,,101,,3620,Обіцяв бути,---,,97
102,3515,Не зайшов,,,102,,3656,Обіцяв бути,---,,98
103,3522,Не зайшов,,,103,,3659,Обіцяв бути,---,,99
104,3537,Не зайшов,,,104,,3672,Обіцяв бути,---,,100
105,3561,Не зайшов,"ваш номер 3561, замість 3562",,105,,3690,Обіцяв бути,---,,101
106,3604,Не зайшов,,,106,,3696,Обіцяв бути,---,,102
107,3608,Не зайшов,,,107,,3704,Обіцяв бути,---,,103
108,3656,Не зайшов,,,108,,3709,Обіцяв бути,---,,105
109,3659,Не зайшов,,,109,,3712,Обіцяв бути,---,,106
110,3672,Не зайшов,,,110,,3719,Обіцяв бути,---,,107
111,3696,Не зайшов,,,111,,3726,Обіцяв бути,---,,109
112,3704,Не зайшов,,,112,,3741,Обіцяв бути,---,,110
113,3723,Відклав візит,,,113,"Ваш номер 3743, а не 3843",3743,Обіцяв бути,---,,#N/A
114,3726,Не зайшов,,,114,,,,,,114
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
