"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,25.09.2025 (08:30 - 14:00),,,Поточний прийом:,,26.09.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,3202,Зайшов,,,1,,2186,Обіцяв бути,---,,#N/A
2,3265,Зайшов,,,2,,3120,Обіцяв бути,---,,#N/A
3,3270,Зайшов,,,3,,3314/1,Обіцяв бути,---,,#N/A
4,3284,Зайшов,,,4,,3431,Обіцяв бути,---,,#N/A
5,3286,Зайшов,,,5,,3433,Обіцяв бути,---,,#N/A
6,3292,Зайшов,,,6,,3438,Обіцяв бути,---,,#N/A
7,3295,Зайшов,,,7,,3440,Обіцяв бути,---,,#N/A
8,3314,Не з'явився,в кінець черги,,8,,3447,Обіцяв бути,---,,#N/A
9,3316,Не з'явився,в кінець черги,,9,,3457,Обіцяв бути,---,,#N/A
10,3323,Зайшов,,,10,,3458,Обіцяв бути,---,,#N/A
11,3325,Не з'явився,в кінець черги,,11,,3461,Обіцяв бути,---,,#N/A
12,3326,Не з'явився,в кінець черги,,12,,3464,Обіцяв бути,---,,#N/A
13,3341,Зайшов,Остання спроба,,13,,3468,Обіцяв бути,---,,#N/A
14,3342,Не з'явився,в кінець черги,,14,,3470,Обіцяв бути,---,,#N/A
15,3349,Не з'явився,в кінець черги,,15,,3471,Обіцяв бути,---,,#N/A
16,3357,Не з'явився,в кінець черги,,16,,3476,Обіцяв бути,---,,#N/A
17,3392,Зайшов,Остання спроба,,17,,3483,Обіцяв бути,---,,#N/A
18,3393,Зайшов,,,18,,3490,Відклав візит,05.12.2025,,#N/A
19,3395,Не з'явився,в кінець черги,,19,,3495,Обіцяв бути,---,,#N/A
20,3397,Не з'явився,в кінець черги,,20,,3498,Обіцяв бути,---,,#N/A
21,3399,Не з'явився,в кінець черги,,21,,3499,Обіцяв бути,---,,#N/A
22,3405,Зайшов,Остання спроба,,22,,3500,Обіцяв бути,---,,#N/A
23,3409,Зайшов,,,23,,3501,Обіцяв бути,---,,#N/A
24,3411,Зайшов,Остання спроба,,24,,3503,Обіцяв бути,---,,#N/A
25,3426,Зайшов,Остання спроба,,25,,3504,Обіцяв бути,---,,#N/A
26,3429,Не з'явився,Остання спроба,,26,,3506,Обіцяв бути,---,,#N/A
27,3431,Відклав візит,Остання спроба,,27,,3509,Обіцяв бути,---,,7
28,3433,Відклав візит,,,28,,3515,Обіцяв бути,---,,8
29,3438,Не з'явився,,,29,,3522,Обіцяв бути,---,,9
30,3440,Не з'явився,,,30,,3528,Обіцяв бути,---,,10
31,3447,Не з'явився,,,31,,3533,Обіцяв бути,---,,11
32,3457,Не з'явився,,,32,,3535,Обіцяв бути,---,,12
33,3458,Не з'явився,,,33,,3537,Обіцяв бути,---,,13
34,3459,Не з'явився,,,34,,3542,Обіцяв бути,---,,#N/A
35,3461,Не з'явився,,,35,,3561,Обіцяв бути,---,,14
36,3463,Не з'явився,,,36,,3581,Обіцяв бути,---,,#N/A
37,3468,Не з'явився,,,37,,3604,Обіцяв бути,---,,16
38,3470,Не з'явився,,,38,,3608,Обіцяв бути,---,,17
39,3471,Не з'явився,,,39,,3654,Обіцяв бути,---,,18
40,3476,Відклав візит,,,40,,3656,Обіцяв бути,---,,19
41,3483,Не з'явився,,,41,,3659,Обіцяв бути,---,,20
42,3491,Відклав візит,,,42,,3660,Обіцяв бути,---,,#N/A
43,3495,Не з'явився,,,43,,3664,Обіцяв бути,---,,22
44,3498,Не з'явився,,,44,,3672,Обіцяв бути,---,,23
45,3499,Не з'явився,,,45,,3696,Обіцяв бути,---,,24
46,3500,Не з'явився,,,46,,3704,Обіцяв бути,---,,25
47,3501,Не з'явився,,,47,,3709,Обіцяв бути,---,,26
48,3503,Не з'явився,,,48,,3712,Обіцяв бути,---,,27,#N/A
49,3504,Не з'явився,,,49,,3719,Обіцяв бути,---,,28
50,3506,Зайшов (за живою чергою),,,50,,3720,Обіцяв бути,---,,29
51,3509,Не зайшов,,,51,,3724,Обіцяв бути,---,,30,#N/A
52,3515,Не зайшов,,,52,,3744,Обіцяв бути,---,,31
53,3522,Не зайшов,,,53,,3763,Обіцяв бути,---,,32
54,3523,Відклав візит,,,54,,3776,Обіцяв бути,---,,#N/A
55,3537,Не зайшов,,,55,,3792,Обіцяв бути,---,,36
56,3581,Не зайшов,,,56,,3795,Обіцяв бути,---,,39
57,3604,Не зайшов,,,57,,3819,Обіцяв бути,---,,40
58,3608,Не зайшов,,,58,,3820,Обіцяв бути,---,,41
59,3654,Не зайшов,,,59,,3823,Обіцяв бути,---,,42
60,3656,Не зайшов,,,60,,3850,Обіцяв бути,---,,43
61,3659,Не зайшов,,,61,,3851,Обіцяв бути,---,,44
62,3660,Не зайшов,,,62,,3858,Обіцяв бути,---,,45
63,3664,Не зайшов,,,63,,3864,Обіцяв бути,---,,46
64,3672,Не зайшов,,,64,,3868,Обіцяв бути,---,,47
65,3696,Не зайшов,,,65,,3873,Обіцяв бути,---,,48
66,3704,Не зайшов,,,66,,3907,Обіцяв бути,---,,49
67,3709,Не зайшов,,,67,,3908,Обіцяв бути,---,,50
68,3712,Не зайшов,,,68,,3916,Обіцяв бути,---,,51
69,3719,Не зайшов,,,69,,,,,,52
70,3720,Не зайшов,,,70,,,,,,53
71,3724,Не зайшов,,,71,,,,,,54
72,3744,Не зайшов,,,72,,,,,,55
73,3776,Не зайшов,,,73,,,,,,57,#N/A
74,3792,Не зайшов,,,74,,,,,,58
75,3795,Не зайшов,,,75,,,,,,59
76,3819,Не зайшов,,,76,,,,,,60
77,3823,Не зайшов,,,77,,,,,,62
78,3838,Відклав візит,,,78,,,,,,#N/A
79,3850,Не зайшов,,,79,,,,,,63
80,3851,Не зайшов,,,80,,,,,,64
81,3858,Не зайшов,,,81,,,,,,65
82,3868,Не зайшов,,,82,,,,,,67,#N/A
83,3873,Не зайшов,,,83,,,,,,68
84,3882,Відклав візит,,,84,,,,,,#N/A
85,,,,,85,,,,,,#N/A
86,,,,,86,,,,,,#N/A
87,,,,,87,,,,,,#N/A
88,,,,,88,,,,,,#N/A
89,,,,,89,,,,,,#N/A
90,,,,,90,,,,,,#N/A
91,,,,,91,,,,,,#N/A
92,,,,,92,,,,,,#N/A
93,,,,,93,,,,,,#N/A
94,,,,,94,,,,,,#N/A
95,,,,,95,,,,,,#N/A
96,,,,,96,,,,,,#N/A,#N/A
97,,,,,97,,,,,,#N/A
98,,,,,98,,,,,,#N/A
99,,,,,99,,,,,,#N/A
100,,,,,100,,,,,,#N/A
101,,,,,101,,,,,,#N/A
102,,,,,102,,,,,,#N/A
103,,,,,103,,,,,,#N/A
104,,,,,104,,,,,,#N/A
105,,,,,105,,,,,,#N/A
106,,,,,106,,,,,,#N/A
107,,,,,107,,,,,,#N/A
108,,,,,108,,,,,,#N/A
109,,,,,109,,,,,,#N/A
110,,,,,110,,,,,,#N/A
111,,,,,111,,,,,,#N/A
112,,,,,112,,,,,,#N/A
113,,,,,113,,,,,,#N/A
114,,,,,114,,,,,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
