"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,13.10.2025 (15:00 - 17:30),,,Поточний прийом:,,14.10.2025 (Вихідний)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,3229,Зайшов,,,1
2,3324,Зайшов,,,2
3,3359,Зайшов,,,3
4,3464,Зайшов,остання спроба,,4
5,3492,Не з'явився,в кінець черги,,5
6,3496,Зайшов,,,6
7,3503,Не з'явився,в кінець черги,,7
8,3537,Не з'явився,в кінець черги,,8
9,3561,Не з'явився,в кінець черги,,9
10,3565,Зайшов,,,10
11,3580,Зайшов,,,11
12,3597,Не зайшов,остання спроба,,12
13,3604,Не зайшов,остання спроба,,13
14,3608,Не зайшов,,,14
15,3647,Не зайшов,,,15
16,3650,Не зайшов,,,16
17,3654,Не зайшов,,,17
18,3656,Не зайшов,,,18
19,3659,Не зайшов,,,19
20,3660,Не зайшов,,,20
21,3661,Відклав візит,,,21
22,3670,Не зайшов,,,22
23,3672,Не зайшов,,,23
24,3692,Не зайшов,,,24
25,3694,Не зайшов,,,25
26,3695,Не зайшов,,,26
27,3696,Не зайшов,,,27
28,3704,Не зайшов,,,28
29,3709,Не зайшов,,,29
30,3711,Відклав візит,,,30
31,3712,Не зайшов,,,31
32,3714,Не зайшов,,,32
33,3716,Не зайшов,,,33
34,3718,Не зайшов,,,34
35,3719,Не зайшов,,,35
36,3724,Не зайшов,,,36
37,3727,Не зайшов,,,37
38,3744,Не зайшов,,,38
39,3745,Відклав візит,,,39
40,3754,Відклав візит,,,40
41,3756,Не зайшов,,,41
42,3762,Не зайшов,,,42
43,3763,Не зайшов,,,43
44,3765,Не зайшов,,,44
45,3766,Не зайшов,,,45
46,3770,Відклав візит,,,46
47,3772,Не зайшов,,,47
48,3776,Не зайшов,,,48
49,3777,Не зайшов,,,49
50,3791,Не зайшов,,,50
51,3792,Не зайшов,,,51
52,3794,Не зайшов,,,52
53,3795,Не зайшов,,,53
54,3809,Не зайшов,,,54
55,3816,Не зайшов,,,55
56,3819,Не зайшов,,,56
57,3820,Не зайшов,,,57
58,3823,Не зайшов,,,58
59,3828,Відклав візит,,,59
60,3838,Не зайшов,,,60
61,3845,Не зайшов,,,61
62,3850,Не зайшов,,,62
63,3858,Не зайшов,,,63
64,3873,Не зайшов,,,64
65,3879,Не зайшов,,,65
66,3908,Не зайшов,,,66
67,3918,Не зайшов,,,67
68,3926,Не зайшов,,,68
69,3929,Не зайшов,,,69
70,3930,Не зайшов,,,70
71,3934,Не зайшов,,,71
72,3935,Не зайшов,,,72
73,3944,Не зайшов,,,73
74,3964,Не зайшов,,,74
75,3967,Не зайшов,,,75
76,4000,Не зайшов,,,76
77,4001,Не зайшов,,,77
78,4009,Відклав візит,,,78
79,4011,Не зайшов,,,79
80,4015,Не зайшов,,,80
81,4019,Не зайшов,,,81
82,4071,Не зайшов,,,82
83,4073,Не зайшов,,,83
84,4075,Не зайшов,,,84
85,4077,Не зайшов,,,85
86,4086,Не зайшов,,,86
87,4090,Не зайшов,,,87
88,4092,Не зайшов,,,88
89,4099,Не зайшов,,,89
90,4120,Не зайшов,,,90
91,4132,Не зайшов,,,91
92,4135,Не зайшов,,,92
93,4136,Не зайшов,,,93
94,4137,Не зайшов,,,94
95,4144,Не зайшов,,,95
96,4150,Не зайшов,,,96
97,,,,,97
98,,,,,98
99,,,,,99
100,,,,,100
101,,,,,101
102,,,,,102
103,,,,,103
104,,,,,104
105,,,,,105
106,,,,,106
107,,,,,107
108,,,,,108
109,,,,,109
110,,,,,110
111,,,,,111
112,,,,,112
113,,,,,113
114,,,,,114
115,,,,,115
116,,,,,116
117,,,,,117
118,,,,,118
119,,,,,119
120,,,,,120
121,,,,,121
122,,,,,122
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
