"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,15.10.2025 (15:00 - 17:30),,,Поточний прийом:,,16.10.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,3304,Не зайшов,,,1,,3304,Обіцяв бути,---
2,3375,Не зайшов,,,2,,3375,Обіцяв бути,---
3,3472,Не зайшов,,,3,,3472,Обіцяв бути,---
4,3474,Не зайшов,,,4,,3474,Обіцяв бути,---
5,3512,Не зайшов,,,5,,3493,Обіцяв бути,---
6,3525,Не зайшов,,,6,,3512,Обіцяв бути,---
7,3530,Не зайшов,,,7,,3517,Обіцяв бути,---
8,3532,Не зайшов,,,8,,3525,Обіцяв бути,---
9,3549,Не зайшов,,,9,,3527,Обіцяв бути,---
10,3597,Не зайшов,остання спроба,,10,,3532,Обіцяв бути,---
11,3604,Не зайшов,остання спроба,,11,,3546,Обіцяв бути,---
12,3608,Не зайшов,,,12,,3564,Обіцяв бути,---
13,3614,Не зайшов,,,13,,3579,Обіцяв бути,---
14,3617,Не зайшов,,,14,,3594,Обіцяв бути,---
15,3647,Не зайшов,,,15,остання спроба,3597,Обіцяв бути,---
16,3650,Не зайшов,,,16,остання спроба,3604,Обіцяв бути,---
17,3656,Не зайшов,,,17,,3608,Обіцяв бути,---
18,3659,Не зайшов,,,18,,3611,Обіцяв бути,---
19,3660,Не зайшов,,,19,,3619,Обіцяв бути,---
20,3664,Не зайшов,,,20,,3647,Обіцяв бути,---
21,3670,Не зайшов,,,21,,3656,Обіцяв бути,---
22,3672,Не зайшов,,,22,,3659,Обіцяв бути,---
23,3692,Не зайшов,,,23,,3660,Обіцяв бути,---
24,3694,Не зайшов,,,24,,3664,Обіцяв бути,---
25,3695,Не зайшов,,,25,,3670,Обіцяв бути,---
26,3696,Не зайшов,,,26,,3672,Обіцяв бути,---
27,3698,Не зайшов,,,27,,3678,Обіцяв бути,---
28,3704,Не зайшов,,,28,,3691,Обіцяв бути,---
29,3709,Не зайшов,,,29,,3692,Обіцяв бути,---
30,3712,Не зайшов,,,30,,3694,Обіцяв бути,---
31,3714,Не зайшов,,,31,,3695,Обіцяв бути,---
32,3716,Не зайшов,,,32,,3696,Обіцяв бути,---
33,3718,Не зайшов,,,33,,3698,Обіцяв бути,---
34,3719,Не зайшов,,,34,,3704,Обіцяв бути,---
35,3724,Не зайшов,,,35,,3709,Обіцяв бути,---
36,3727,Не зайшов,,,36,,3711,Обіцяв бути,---
37,3738,Не зайшов,"Ваш номер 3738, а не 3838",,37,,3712,Обіцяв бути,---
38,3744,Не зайшов,,,38,,3714,Обіцяв бути,---
39,3756,Не зайшов,,,39,,3716,Обіцяв бути,---
40,3762,Не зайшов,,,40,,3718,Обіцяв бути,---
41,3763,Не зайшов,,,41,,3719,Обіцяв бути,---
42,3765,Не зайшов,,,42,,3724,Обіцяв бути,---
43,3766,Не зайшов,,,43,,3727,Обіцяв бути,---
44,3772,Не зайшов,,,44,"Ваш номер 3738, а не 3838",3738,Обіцяв бути,---
45,3776,Не зайшов,,,45,,3744,Обіцяв бути,---
46,3777,Не зайшов,,,46,,3756,Обіцяв бути,---
47,3786,Не зайшов,"Ваш номер 3786, а не 3804",,47,,3762,Обіцяв бути,---
48,3791,Не зайшов,,,48,,3763,Обіцяв бути,---
49,3792,Не зайшов,,,49,,3765,Обіцяв бути,---
50,3794,Не зайшов,,,50,,3766,Обіцяв бути,---
51,3795,Не зайшов,,,51,,3772,Обіцяв бути,---
52,3809,Не зайшов,,,52,,3776,Обіцяв бути,---
53,3810,Не зайшов,,,53,,3777,Обіцяв бути,---
54,3816,Відклав візит,,,54,,3785,Обіцяв бути,---
55,3819,Не зайшов,,,55,"Ваш номер 3786, а не 3804",3786,Обіцяв бути,---
56,3820,Не зайшов,,,56,,3791,Обіцяв бути,---
57,3823,Не зайшов,,,57,,3792,Обіцяв бути,---
58,3838,Не зайшов,,,58,,3794,Обіцяв бути,---
59,3845,Не зайшов,,,59,,3795,Обіцяв бути,---
60,3850,Не зайшов,,,60,,3809,Обіцяв бути,---
61,3854,Відклав візит,,,61,,3819,Обіцяв бути,---
62,3856,Не зайшов,,,62,,3820,Обіцяв бути,---
63,3857,Не зайшов,,,63,,3821,Відклав візит,05.12.2025
64,3858,Не зайшов,,,64,,3823,Обіцяв бути,---
65,3859,Не зайшов,,,65,,3838,Обіцяв бути,---
66,3871,Не зайшов,,,66,,3845,Обіцяв бути,---
67,3873,Не зайшов,,,67,,3850,Обіцяв бути,---
68,3875,Не зайшов,,,68,,3856,Обіцяв бути,---
69,3879,Не зайшов,,,69,,3857,Обіцяв бути,---
70,3908,Не зайшов,,,70,,3858,Обіцяв бути,---
71,3918,Не зайшов,,,71,,3859,Обіцяв бути,---
72,3926,Не зайшов,,,72,,3871,Обіцяв бути,---
73,3929,Не зайшов,,,73,,3873,Обіцяв бути,---
74,3930,Не зайшов,,,74,,3875,Обіцяв бути,---
75,3934,Не зайшов,,,75,,3879,Обіцяв бути,---
76,3935,Не зайшов,,,76,,3898,Обіцяв бути,---
77,3944,Не зайшов,,,77,,3908,Обіцяв бути,---
78,3951,Не зайшов,,,78,,3910,Обіцяв бути,---
79,3964,Не зайшов,,,79,,3916,Обіцяв бути,---
80,3967,Не зайшов,,,80,,3918,Обіцяв бути,---
81,4000,Не зайшов,,,81,,3926,Обіцяв бути,---
82,4001,Не зайшов,,,82,,3929,Обіцяв бути,---
83,4003,Не зайшов,,,83,,3930,Обіцяв бути,---
84,4011,Не зайшов,,,84,,3934,Обіцяв бути,---
85,4015,Не зайшов,,,85,,3935,Обіцяв бути,---
86,4019,Не зайшов,,,86,,3944,Обіцяв бути,---
87,4073,Не зайшов,,,87,,3948,Обіцяв бути,---
88,4074,Не зайшов,,,88,,3964,Обіцяв бути,---
89,4075,Не зайшов,,,89,,3967,Обіцяв бути,---
90,4077,Не зайшов,,,90,,4000,Обіцяв бути,---
91,4078,Не зайшов,,,91,,4001,Обіцяв бути,---
92,4086,Не зайшов,,,92,,4003,Обіцяв бути,---
93,4089,Не зайшов,,,93,,4011,Обіцяв бути,---
94,4090,Не зайшов,,,94,,4015,Обіцяв бути,---
95,4092,Не зайшов,,,95,,4019,Обіцяв бути,---
96,4099,Не зайшов,,,96,,4073,Обіцяв бути,---
97,4120,Не зайшов,,,97,,4074,Обіцяв бути,---
98,4132,Не зайшов,,,98,,4075,Обіцяв бути,---
99,4136,Не зайшов,,,99,,4077,Обіцяв бути,---
100,4137,Не зайшов,,,100,,4078,Обіцяв бути,---
101,4144,Не зайшов,,,101,,4086,Обіцяв бути,---
102,4150,Не зайшов,,,102,,4089,Обіцяв бути,---
103,4194,Не зайшов,,,103,,4090,Обіцяв бути,---
104,,,,,104,,4092,Обіцяв бути,---
105,,,,,105,,4099,Обіцяв бути,---
106,,,,,106,,4103,Обіцяв бути,---
107,,,,,107,,4120,Обіцяв бути,---
108,,,,,108,,4132,Обіцяв бути,---
109,,,,,109,,4136,Обіцяв бути,---
110,,,,,110,,4137,Обіцяв бути,---
111,,,,,111,,4144,Обіцяв бути,---
112,,,,,112,,4150,Обіцяв бути,---
113,,,,,113,,4182,Обіцяв бути,---
114,,,,,114,,4194,Обіцяв бути,---
115,,,,,115,,4209,Обіцяв бути,---
116,,,,,116,,4210,Обіцяв бути,---
117,,,,,117,,4223,Обіцяв бути,---
118,,,,,118,,4224,Обіцяв бути,---
119,,,,,119,,4230,Відклав візит,15.12.2025
120,,,,,120
121,,,,,121
122,,,,,122
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
