"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,17.10.2025 (15:00 - 17:30),,,Поточний прийом:,,20.10.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,3300,Зайшов,,,1,,3428,Обіцяв бути,---
2,3372,Зайшов,,,2,,3450,Обіцяв бути,---
3,3531,Зайшов,,,3,,3505,Обіцяв бути,---
4,3532,Зайшов,,,4,,3518,Обіцяв бути,---
5,3535,Зайшов,,,5,,3545,Обіцяв бути,---
6,3545,Не зайшов,,,6,,3546,Обіцяв бути,---
7,3546,Не зайшов,,,7,,3548,Обіцяв бути,---
8,3548,Не зайшов,,,8,,3549,Обіцяв бути,---
9,3564,Не зайшов,,,9,,3552,Обіцяв бути,---
10,3572,Відклав візит,,,10,,3555,Обіцяв бути,---
11,3579,Не зайшов,,,11,,3564,Обіцяв бути,---
12,3594,Не зайшов,,,12,,3571,Обіцяв бути,---
13,3597,Не зайшов,остання спроба,,13,,3573,Обіцяв бути,---
14,3604,Не зайшов,остання спроба,,14,,3576,Обіцяв бути,---
15,3608,Не зайшов,,,15,,3579,Обіцяв бути,---
16,3611,Відклав візит,,,16,,3594,Обіцяв бути,---
17,3617,Відклав візит,,,17,остання спроба,3597,Обіцяв бути,---
18,3647,Не зайшов,,,18,остання спроба,3604,Обіцяв бути,---
19,3654,Не зайшов,,,19,,3608,Обіцяв бути,---
20,3656,Не зайшов,,,20,,3647,Обіцяв бути,---
21,3659,Не зайшов,,,21,,3654,Обіцяв бути,---
22,3660,Не зайшов,,,22,,3656,Обіцяв бути,---
23,3670,Не зайшов,,,23,,3659,Обіцяв бути,---
24,3672,Не зайшов,,,24,,3660,Обіцяв бути,---
25,3678,Не зайшов,,,25,,3669,Обіцяв бути,---
26,3692,Не зайшов,,,26,,3670,Обіцяв бути,---
27,3694,Не зайшов,,,27,,3671,Обіцяв бути,---
28,3695,Не зайшов,,,28,,3672,Обіцяв бути,---
29,3696,Не зайшов,,,29,,3678,Обіцяв бути,---
30,3698,Відклав візит,,,30,,3689,Обіцяв бути,---
31,3704,Не зайшов,,,31,,3692,Обіцяв бути,---
32,3709,Не зайшов,,,32,,3694,Обіцяв бути,---
33,3711,Не зайшов,,,33,,3695,Обіцяв бути,---
34,3712,Не зайшов,,,34,,3696,Обіцяв бути,---
35,3714,Не зайшов,,,35,,3701,Обіцяв бути,---
36,3716,Не зайшов,,,36,,3704,Обіцяв бути,---
37,3718,Не зайшов,,,37,,3709,Обіцяв бути,---
38,3719,Не зайшов,,,38,,3711,Обіцяв бути,---
39,3724,Не зайшов,,,39,,3712,Обіцяв бути,---
40,3727,Не зайшов,,,40,,3714,Обіцяв бути,---
41,3738,Не зайшов,"Ваш номер 3738, а не 3838",,41,,3716,Обіцяв бути,---
42,3744,Не зайшов,,,42,,3718,Обіцяв бути,---
43,3745,Не зайшов,,,43,,3719,Обіцяв бути,---
44,3756,Не зайшов,,,44,,3724,Обіцяв бути,---
45,3762,Не зайшов,,,45,,3727,Обіцяв бути,---
46,3763,Не зайшов,,,46,"Ваш номер 3738, а не 3838",3738,Обіцяв бути,---
47,3765,Не зайшов,,,47,,3744,Обіцяв бути,---
48,3772,Не зайшов,,,48,,3745,Обіцяв бути,---
49,3776,Не зайшов,,,49,,3756,Обіцяв бути,---
50,3777,Не зайшов,,,50,,3762,Обіцяв бути,---
51,3785,Не зайшов,,,51,,3763,Обіцяв бути,---
52,3786,Не зайшов,"Ваш номер 3786, а не 3804",,52,,3765,Обіцяв бути,---
53,3791,Не зайшов,,,53,,3770,Обіцяв бути,---
54,3792,Не зайшов,,,54,,3772,Обіцяв бути,---
55,3794,Не зайшов,,,55,,3776,Обіцяв бути,---
56,3795,Не зайшов,,,56,,3785,Обіцяв бути,---
57,3809,Відклав візит,,,57,"Ваш номер 3786, а не 3804",3786,Обіцяв бути,---
58,3819,Не зайшов,,,58,,3791,Обіцяв бути,---
59,3820,Не зайшов,,,59,,3792,Обіцяв бути,---
60,3823,Не зайшов,,,60,,3794,Обіцяв бути,---
61,3838,Не зайшов,,,61,,3795,Обіцяв бути,---
62,3850,Не зайшов,,,62,,3819,Обіцяв бути,---
63,3856,Не зайшов,,,63,,3820,Обіцяв бути,---
64,3857,Не зайшов,,,64,,3823,Обіцяв бути,---
65,3858,Не зайшов,,,65,,3834,Обіцяв бути,---
66,3859,Не зайшов,,,66,,3838,Обіцяв бути,---
67,3871,Не зайшов,,,67,,3850,Обіцяв бути,---
68,3873,Не зайшов,,,68,,3856,Обіцяв бути,---
69,3875,Не зайшов,,,69,,3857,Обіцяв бути,---
70,3879,Не зайшов,,,70,,3858,Обіцяв бути,---
71,3898,Не зайшов,,,71,,3859,Обіцяв бути,---
72,3908,Не зайшов,,,72,,3871,Обіцяв бути,---
73,3910,Не зайшов,,,73,,3873,Обіцяв бути,---
74,3918,Не зайшов,,,74,,3875,Обіцяв бути,---
75,3926,Не зайшов,,,75,,3879,Обіцяв бути,---
76,3929,Не зайшов,,,76,,3898,Обіцяв бути,---
77,3930,Не зайшов,,,77,,3908,Обіцяв бути,---
78,3934,Не зайшов,,,78,,3910,Обіцяв бути,---
79,3935,Не зайшов,,,79,,3918,Обіцяв бути,---
80,3944,Не зайшов,,,80,,3926,Обіцяв бути,---
81,3948,Не зайшов,,,81,,3929,Обіцяв бути,---
82,3964,Не зайшов,,,82,,3930,Обіцяв бути,---
83,3967,Не зайшов,,,83,,3934,Обіцяв бути,---
84,4000,Не зайшов,,,84,,3935,Обіцяв бути,---
85,4001,Не зайшов,,,85,,3944,Обіцяв бути,---
86,4003,Не зайшов,,,86,,3948,Обіцяв бути,---
87,4011,Не зайшов,,,87,,3964,Обіцяв бути,---
88,4015,Не зайшов,,,88,,3967,Обіцяв бути,---
89,4019,Не зайшов,,,89,,4000,Обіцяв бути,---
90,4024,Не зайшов,,,90,,4001,Обіцяв бути,---
91,4073,Не зайшов,,,91,,4003,Обіцяв бути,---
92,4074,Не зайшов,,,92,,4011,Обіцяв бути,---
93,4075,Не зайшов,,,93,,4015,Обіцяв бути,---
94,4077,Не зайшов,,,94,,4019,Обіцяв бути,---
95,4078,Не зайшов,,,95,,4024,Обіцяв бути,---
96,4086,Не зайшов,,,96,,4073,Обіцяв бути,---
97,4089,Не зайшов,,,97,,4074,Обіцяв бути,---
98,4090,Не зайшов,,,98,,4075,Обіцяв бути,---
99,4092,Не зайшов,,,99,,4077,Обіцяв бути,---
100,4099,Не зайшов,,,100,,4078,Обіцяв бути,---
101,4103,Не зайшов,,,101,,4086,Обіцяв бути,---
102,4120,Не зайшов,,,102,,4089,Обіцяв бути,---
103,4132,Не зайшов,,,103,,4090,Обіцяв бути,---
104,4136,Не зайшов,,,104,,4092,Обіцяв бути,---
105,4137,Не зайшов,,,105,,4099,Обіцяв бути,---
106,4144,Не зайшов,,,106,,4103,Обіцяв бути,---
107,4150,Не зайшов,,,107,,4120,Обіцяв бути,---
108,4169,Відклав візит,,,108,,4132,Обіцяв бути,---
109,4194,Не зайшов,,,109,,4136,Обіцяв бути,---
110,4212,Відклав візит,,,110,,4137,Обіцяв бути,---
111,4223,Не зайшов,,,111,,4144,Обіцяв бути,---
112,4241,Не зайшов,,,112,,4150,Обіцяв бути,---
113,4269,Відклав візит,,,113,,4194,Обіцяв бути,---
114,4270,Не зайшов,,,114,,4211,Обіцяв бути,---
115,,,,,115,,4223,Обіцяв бути,---
116,,,,,116,,4241,Обіцяв бути,---
117,,,,,117,,4270,Обіцяв бути,---
118,,,,,118,,4277,Обіцяв бути,---
119,,,,,119,,4287,Обіцяв бути,---
120,,,,,120,,4295,Обіцяв бути,---
121,,,,,121
122,,,,,122
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
159,,,,,159
160,,,,,160
161,,,,,161
162,,,,,162
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
