"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,28.10.2025 (10:00 - 14:00),,,Поточний прийом:,,29.10.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3237,Зайшов,,,1,,3530,Обіцяв бути,---,,Відсутній,п.8,3663
2,3563,Зайшов,,,2,Остання спроба,3663,Обіцяв бути,---,,Попередній 4,п.8,3667
3,3639,Зайшов,,,3,,3664,Обіцяв бути,---,,Відсутній,п.8,3715
4,3663,Не з'явився,п.8,,4,Остання спроба,3667,Обіцяв бути,---,,Попередній 5,п.8,3762
5,3667,Не з'явився,п.8,,5,,3679,Обіцяв бути,---,,Відсутній,п.8,3763
6,3690,Зайшов,,,6,Остання спроба,3715,Обіцяв бути,---,,Попередній 10,п.8,3765
7,3691,Зайшов,Остання спроба,,7,,3739,Обіцяв бути,---,,Відсутній,п.8,3769
8,3700,Зайшов,,,8,Остання спроба,3754,Обіцяв бути,---,,Відсутній,п.8,3772
9,3714,Не з'явився,в кінець черги,,9,Остання спроба,3762,Обіцяв бути,---,,Попередній 16,п.8,3776
10,3715,Не з'явився,п.8,,10,Остання спроба,3763,Обіцяв бути,---,,Попередній 17,п.8,3791
11,3716,Не з'явився,в кінець черги,,11,Остання спроба,3765,Обіцяв бути,---,,Попередній 18,п.8,3792
12,3719,Не з'явився,в кінець черги,,12,Остання спроба,3769,Обіцяв бути,---,,Попередній 19,п.8,3794
13,3727,Не з'явився,в кінець черги,,13,Остання спроба,3772,Обіцяв бути,---,,Попередній 20,,3819
14,3737,Зайшов,,,14,Остання спроба,3776,Обіцяв бути,---,,Попередній 21,,3820
15,3744,Не з'явився,в кінець черги,,15,Остання спроба,3791,Обіцяв бути,---,,Попередній 22,,3823
16,3762,Не з'явився,п.8,,16,Остання спроба,3792,Обіцяв бути,---,,Попередній 23,,3834
17,3763,Не з'явився,п.8,,17,Остання спроба,3794,Обіцяв бути,---,,Попередній 24,,3840
18,3765,Не з'явився,п.8,,18,,3819,Обіцяв бути,---,,Попередній 27,,3843
19,3769,Не з'явився,п.8,,19,,3820,Обіцяв бути,---,,Попередній 28,,3849
20,3772,Не з'явився,п.8,,20,,3823,Обіцяв бути,---,,Попередній 29,,3851
21,3776,Не з'явився,п.8,,21,,3834,Обіцяв бути,---,,Попередній 30,,3856
22,3791,Не з'явився,п.8,,22,,3840,Обіцяв бути,---,,Попередній 32,,3857
23,3792,Не з'явився,п.8,,23,,3843,Обіцяв бути,---,,Попередній 33,,3858
