"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,04.11.2025 (8:30 - 14:00),,,Поточний прийом:,,05.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3693,Зайшов,,,1,,3658,Обіцяв бути,---
2,3773,Зайшов,,,2,,3708,Обіцяв бути,---
3,3811,Зайшов,,,3,,3750,Обіцяв бути,---
4,3819,Зайшов,,,4,,3766,Обіцяв бути,---
5,3822,Зайшов,,,5,,3768,Обіцяв бути,---
6,3825,Зайшов,,,6,,3801,Обіцяв бути,---
7,3873,Не з'явився,В кінець черги,,7,2 група інвалідності,3803,Обіцяв бути,---
8,3879,Не з'явився,В кінець черги,,8,,3807,Обіцяв бути,---
9,3898,Не з'явився,В кінець черги,,9,,3847,Обіцяв бути,---
10,3903,Зайшов,,,10,Остання спроба,3850,Обіцяв бути,---
11,3906,Зайшов,,,11,,3868,Обіцяв бути,---
12,3910,Не з'явився,В кінець черги,,12,,3878,Обіцяв бути,---
13,3918,Не з'явився,В кінець черги,,13,,3891,Обіцяв бути,---
14,3924,Не з'явився,В кінець черги,,14,,3907,Обіцяв бути,---
15,3926,Зайшов,Остання спроба,,15,,3972,Обіцяв бути,---
16,3930,Не з'явився,В кінець черги,,16,Остання спроба,3980,Обіцяв бути,---
17,3935,Не з'явився,В кінець черги,,17,Остання спроба,3990,Обіцяв бути,---
18,3944,Зайшов,Остання спроба,,18,,3999,Обіцяв бути,---
19,3945,Не з'явився,В кінець черги,,19,Остання спроба,4000,Обіцяв бути,---
20,3948,Не з'явився,В кінець черги,,20,Остання спроба,4001,Обіцяв бути,---
21,3964,Не з'явився,В кінець черги,,21,Остання спроба,4003,Обіцяв бути,---
22,3967,Не з'явився,В кінець черги,,22,,4009,Обіцяв бути,---
23,3971,Не з'явився,В кінець черги,,23,Остання спроба,4011,Обіцяв бути,---
24,3980,Не з'явився,п.8,,24,,4014,Обіцяв бути,---,06.11.2025
25,3990,Не з'явився,п.8,,25,,4015,Обіцяв бути,---,06.11.2025
26,4000,Не з'явився,п.8,,26,,4019,Обіцяв бути,---,06.11.2025
27,4001,Не з'явився,п.8,,27,,4022,Обіцяв бути,---,06.11.2025
28,4003,Не з'явився,п.8,,28,,4024,Обіцяв бути,---,06.11.2025
29,4011,Не з'явився,п.8,,29,,4050,Обіцяв бути,---,07.11.2025
30,4013,Зайшов,,,30,,4064,Обіцяв бути,---,10.11.2025
31,4014,Не зайшов,,,31,,4070,Обіцяв бути,---,10.11.2025
32,4015,Не зайшов,,,32,,4071,Обіцяв бути,---,10.11.2025
33,4019,Не зайшов,,,33,,4073,Обіцяв бути,---,10.11.2025
34,4022,Не зайшов,,,34,,4074,Обіцяв бути,---,10.11.2025
35,4024,Не зайшов,,,35,,4075,Обіцяв бути,---,10.11.2025
36,4043,Зайшов (за живою чергою),,,36,,4078,Обіцяв бути,---,10.11.2025
37,4050,Не зайшов,,,37,,4085,Обіцяв бути,---,10.11.2025
38,4064,Не зайшов,,,38,,4086,Обіцяв бути,---,10.11.2025
39,4070,Не зайшов,,,39,,4089,Обіцяв бути,---,11.11.2025
40,4071,Не зайшов,,,40,,4090,Обіцяв бути,---,11.11.2025
41,4073,Не зайшов,,,41,,4099,Обіцяв бути,---,11.11.2025
42,4074,Не зайшов,,,42,,4120,Обіцяв бути,---,12.11.2025
43,4075,Не зайшов,,,43,,4132,Обіцяв бути,---,12.11.2025
44,4078,Не зайшов,,,44,,4134,Обіцяв бути,---,12.11.2025
45,4085,Не зайшов,,,45,,4135,Відклав візит,08.12.2025,12.11.2025
46,4086,Не зайшов,,,46,,4136,Обіцяв бути,---,12.11.2025
47,4089,Не зайшов,,,47,,4137,Обіцяв бути,---,12.11.2025
48,4090,Не зайшов,,,48,,4142,Обіцяв бути,---,13.11.2025
49,4092,Зайшов (за живою чергою),,,49,,4144,Обіцяв бути,---,13.11.2025
50,4099,Не зайшов,,,50,,4146,Обіцяв бути,---,13.11.2025
51,4120,Не зайшов,,,51,,4162,Відклав візит,10.12.2025,13.11.2025
52,4132,Не зайшов,,,52,,4171,Обіцяв бути,---,14.11.2025
53,4134,Не зайшов,,,53,,4177,Обіцяв бути,---,14.11.2025
54,4135,Не зайшов,,,54,,4183,Обіцяв бути,---,14.11.2025
55,4136,Не зайшов,,,55,,4193,Обіцяв бути,---,17.11.2025
56,4137,Не зайшов,,,56,,4194,Обіцяв бути,---,17.11.2025
57,4142,Не зайшов,,,57,,4197,Обіцяв бути,---,17.11.2025
58,4144,Не зайшов,,,58,,4206,Обіцяв бути,---,17.11.2025
59,4146,Не зайшов,,,59,,4211,Обіцяв бути,---,17.11.2025
60,4162,Не зайшов,,,60,,4223,Обіцяв бути,---,18.11.2025
61,4171,Не зайшов,,,61,,4228,Обіцяв бути,---,18.11.2025
62,4177,Не зайшов,,,62,,4232,Відклав візит,12.12.2025,18.11.2025
63,4183,Не зайшов,,,63,,4233,Обіцяв бути,---,18.11.2025
64,4184,Зайшов (за живою чергою),,,64,,4234,Обіцяв бути,---,18.11.2025
65,4193,Не зайшов,,,65,,4238,Обіцяв бути,---,18.11.2025
66,4194,Не зайшов,,,66,,4239,Обіцяв бути,---,19.11.2025
67,4197,Не зайшов,,,67,,4240,Обіцяв бути,---,19.11.2025
68,4206,Не зайшов,,,68,,4241,Обіцяв бути,---,19.11.2025
69,4211,Не зайшов,,,69,,4242,Обіцяв бути,---,19.11.2025
70,4223,Не зайшов,,,70,,4262,Обіцяв бути,---,19.11.2025
71,4233,Не зайшов,,,71,,4263,Обіцяв бути,---,19.11.2025
72,4234,Не зайшов,,,72,,4269,Обіцяв бути,---,20.11.2025
73,4240,Не зайшов,,,73,,4270,Обіцяв бути,---,20.11.2025
74,4241,Не зайшов,,,74,,4277,Обіцяв бути,---,20.11.2025
75,4257,Відклав візит,,,75,,4286,Обіцяв бути,---,20.11.2025
76,4262,Не зайшов,,,76,,4287,Обіцяв бути,---,20.11.2025
77,4263,Не зайшов,,,77,,4294,Обіцяв бути,---,21.11.2025
78,4269,Не зайшов,,,78,,4295,Обіцяв бути,---,21.11.2025
79,4270,Не зайшов,,,79,,4319,Обіцяв бути,---,24.11.2025
80,4277,Не зайшов,,,80,,4338,Обіцяв бути,---,24.11.2025
81,4286,Не зайшов,,,81,,4339,Обіцяв бути,---,25.11.2025
82,4287,Не зайшов,,,82,,4363,Обіцяв бути,---,25.11.2025
83,4294,Не зайшов,,,83,,4371,Обіцяв бути,---,26.11.2025
84,4295,Не зайшов,,,84,,4373,Обіцяв бути,---,26.11.2025
85,4319,Не зайшов,,,85,,4390,Обіцяв бути,---,27.11.2025
86,4338,Не зайшов,,,86,,4396,Обіцяв бути,---,27.11.2025
87,4339,Не зайшов,,,87,,4407,Обіцяв бути,---,27.11.2025
88,4363,Не зайшов,,,88,,4415,Відклав візит,19.01.2026,28.11.2025
89,4371,Не зайшов,,,89,,4421,Обіцяв бути,---,28.11.2025
90,4373,Не зайшов,,,90,,4427,Обіцяв бути,---,28.11.2025
91,4390,Не зайшов,,,91,,4432,Відклав візит,11.12.2025,28.11.2025
92,4396,Не зайшов,,,92,,4444,Обіцяв бути,---,01.12.2025
93,4415,Не зайшов,,,93,,4459,Обіцяв бути,---,01.12.2025
94,4421,Не зайшов,,,94,,4470,Обіцяв бути,---,02.12.2025
95,4427,Не зайшов,,,95,,4486,Обіцяв бути,---,02.12.2025
96,4432,Не зайшов,,,96,,4517,Обіцяв бути,---,04.12.2025
97,4444,Не зайшов,,,97,,4519,Відклав візит,17.12.2025,04.12.2025
98,4459,Не зайшов,,,98,,4554,Обіцяв бути,---,05.12.2025
99,4470,Не зайшов,,,99,,4560,Обіцяв бути,---,05.12.2025
100,4486,Не зайшов,,,100,,4566,Обіцяв бути,---,08.12.2025
101,4517,Не зайшов,,,101,,4572,Обіцяв бути,---,08.12.2025
102,4521,Відклав візит,,,102,,4573,Обіцяв бути,---,08.12.2025
103,4552,Зайшов (за живою чергою),без черги,,103,,4575,Обіцяв бути,---,08.12.2025
104,4554,Не зайшов,,,104,,4577,Обіцяв бути,---,08.12.2025
105,4560,Не зайшов,,,105,,4580,Обіцяв бути,---,08.12.2025
106,4564,Відклав візит,,,106,,4586,Обіцяв бути,---,08.12.2025
107,4566,Не зайшов,,,107,,4593,Відклав візит,10.12.2025,09.12.2025
108,4572,Відклав візит,,,108,,4598,Обіцяв бути,---,09.12.2025
109,4573,Не зайшов,,,109,,4603,Відклав візит,09.12.2025,09.12.2025
110,4575,Не зайшов,,,110,,4605,Обіцяв бути,---,09.12.2025
111,4580,Не зайшов,,,111,,4606,Обіцяв бути,---,09.12.2025
112,4588,Відклав візит,,,112,,4609,Обіцяв бути,---,09.12.2025
113,4593,Не зайшов,,,113,,4623,Обіцяв бути,---,10.12.2025
114,4598,Не зайшов,,,114,,4632,Обіцяв бути,---,10.12.2025
115,,,,,115
116,,,,,116
117,,,,,117
118,,,,,118
119,,,,,119
120,,,,,120
121,,,,,121
122,,,,,122
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
