"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,05.11.2025 (8:30 - 14:00),,,Поточний прийом:,,06.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3658,Зайшов,,,1,,3154,Обіцяв бути,---
2,3708,Зайшов,,,2,,3673,Обіцяв бути,---
3,3750,Зайшов,,,3,,3730,Обіцяв бути,---
4,3766,Зайшов,,,4,,3731,Обіцяв бути,---
5,3768,Зайшов,,,5,,3760,Обіцяв бути,---
6,3801,Зайшов,,,6,,3771,Обіцяв бути,---
7,3803,Зайшов,2 група інвалідності,,7,,3785,Обіцяв бути,---
8,3807,Зайшов,,,8,,3795,Обіцяв бути,---
9,3847,Зайшов,,,9,,3802,Обіцяв бути,---
10,3850,Не зайшов,Остання спроба,,10,,3841,Обіцяв бути,---
11,3868,Не зайшов,,,11,Остання спроба,3850,Обіцяв бути,---
12,3878,Не зайшов,,,12,,3866,Відклав візит,12.12.2025
13,3891,Не зайшов,,,13,,3868,Обіцяв бути,---
14,3907,Не зайшов,,,14,,3876,Обіцяв бути,---
15,3972,Відклав візит,,,15,,3878,Обіцяв бути,---
16,3980,Не зайшов,Остання спроба,,16,,3891,Обіцяв бути,---
17,3990,Не зайшов,Остання спроба,,17,,3907,Обіцяв бути,---
18,3999,Відклав візит,,,18,,3916,Обіцяв бути,---
19,4000,Не зайшов,Остання спроба,,19,,3931,Обіцяв бути,---
20,4001,Відклав візит,Остання спроба,,20,,3959,Обіцяв бути,---
21,4003,Не зайшов,Остання спроба,,21,Остання спроба,3980,Обіцяв бути,---
22,4009,Відклав візит,,,22,Остання спроба,3990,Обіцяв бути,---
23,4011,Відклав візит,Остання спроба,,23,Остання спроба,4000,Обіцяв бути,---
24,4014,Не зайшов,,,24,Остання спроба,4003,Обіцяв бути,---
25,4015,Не зайшов,,,25,Остання спроба,4011,Обіцяв бути,---
26,4019,Не зайшов,,,26,,4014,Обіцяв бути,---,07.11.2025
27,4022,Не зайшов,,,27,,4015,Обіцяв бути,---,07.11.2025
28,4024,Не зайшов,,,28,,4019,Обіцяв бути,---,07.11.2025
29,4050,Не зайшов,,,29,,4022,Обіцяв бути,---,07.11.2025
30,4064,Не зайшов,,,30,,4024,Обіцяв бути,---,07.11.2025
31,4070,Не зайшов,,,31,,4050,Обіцяв бути,---,11.11.2025
32,4071,Не зайшов,,,32,,4062,Обіцяв бути,---,11.11.2025
33,4073,Не зайшов,,,33,,4064,Обіцяв бути,---,11.11.2025
34,4074,Не зайшов,,,34,,4070,Обіцяв бути,---,12.11.2025
35,4075,Не зайшов,,,35,,4071,Обіцяв бути,---,12.11.2025
36,4078,Не зайшов,,,36,,4073,Обіцяв бути,---,12.11.2025
37,4085,Відклав візит,,,37,,4074,Обіцяв бути,---,12.11.2025
38,4086,Не зайшов,,,38,,4075,Обіцяв бути,---,12.11.2025
39,4089,Не зайшов,,,39,,4078,Обіцяв бути,---,12.11.2025
40,4090,Не зайшов,,,40,,4083,Обіцяв бути,---,12.11.2025
41,4099,Не зайшов,,,41,,4086,Обіцяв бути,---,13.11.2025
42,4120,Не зайшов,,,42,,4089,Обіцяв бути,---,13.11.2025
43,4132,Не зайшов,,,43,,4090,Обіцяв бути,---,13.11.2025
44,4134,Не зайшов,,,44,,4099,Обіцяв бути,---,13.11.2025
45,4135,Не зайшов,,,45,,4105,Відклав візит,08.12.2025,14.11.2025
46,4136,Не зайшов,,,46,,4120,Обіцяв бути,---,14.11.2025
47,4137,Не зайшов,,,47,,4122,Обіцяв бути,---,17.11.2025
48,4142,Не зайшов,,,48,,4132,Обіцяв бути,---,17.11.2025
49,4144,Не зайшов,,,49,,4134,Обіцяв бути,---,17.11.2025
50,4146,Не зайшов,,,50,,4135,Відклав візит,08.12.2025,17.11.2025
51,4162,Не зайшов,,,51,,4136,Обіцяв бути,---,17.11.2025
52,4171,Не зайшов,,,52,,4137,Обіцяв бути,---,17.11.2025
53,4177,Не зайшов,,,53,,4142,Обіцяв бути,---,18.11.2025
54,4183,Не зайшов,,,54,,4144,Обіцяв бути,---,18.11.2025
55,4193,Не зайшов,,,55,,4146,Обіцяв бути,---,18.11.2025
56,4194,Не зайшов,,,56,,4162,Відклав візит,10.12.2025,19.11.2025
57,4197,Не зайшов,,,57,,4170,Обіцяв бути,---,19.11.2025
58,4206,Не зайшов,,,58,,4171,Обіцяв бути,---,19.11.2025
59,4211,Не зайшов,,,59,,4176,Відклав візит,10.12.2025,20.11.2025
60,4223,Не зайшов,,,60,,4177,Обіцяв бути,---,20.11.2025
61,4228,Не зайшов,,,61,,4183,Обіцяв бути,---,20.11.2025
