"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,11.11.2025 (10:00 - 14:00),,,Поточний прийом:,,12.11.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3662,Зайшов,,,1,,3842,Обіцяв бути,---
2,3666,Скасував,на Іваниса,,2,,3861,Обіцяв бути,---
3,3806,Зайшов,,,3,,3913,Обіцяв бути,---
4,3876,Зайшов,,,4,,3931,Обіцяв бути,---
5,3878,Зайшов,,,5,,3946,Обіцяв бути,---
6,3883,Зайшов,,,6,,3959,Обіцяв бути,---
7,3884,Зайшов,,,7,,3972,Обіцяв бути,---
8,3889,Зайшов,,,8,,3978,Обіцяв бути,---
9,3891,Зайшов,,,9,Остання спроба,3980,Обіцяв бути,---
10,3907,Зайшов,,,10,,3982,Обіцяв бути,---
11,3908,Зайшов,,,11,Остання спроба,3990,Обіцяв бути,---
12,3913,Не зайшов,,,12,Остання спроба,3999,Обіцяв бути,---
13,3931,Не зайшов,,,13,Остання спроба,4000,Обіцяв бути,---
14,3946,Не зайшов,,,14,Остання спроба,4001,Обіцяв бути,---
15,3959,Не зайшов,,,15,Остання спроба,4003,Обіцяв бути,---
16,3972,Не зайшов,,,16,,4004,Обіцяв бути,---
17,3978,Не зайшов,,,17,Остання спроба,4009,Обіцяв бути,---
18,3980,Не зайшов,Остання спроба,,18,,4014,Обіцяв бути,---,13.11.2025
19,3982,Не зайшов,,,19,,4015,Обіцяв бути,---,13.11.2025
20,3990,Не зайшов,Остання спроба,,20,,4019,Обіцяв бути,---,13.11.2025
21,3994,Скасував,,,21,,4022,Обіцяв бути,---,13.11.2025
22,4000,Не зайшов,Остання спроба,,22,,4024,Обіцяв бути,---,13.11.2025
23,4003,Не зайшов,Остання спроба,,23,,4047,Обіцяв бути,---,14.11.2025
24,4014,Не зайшов,,,24,,4064,Обіцяв бути,---,17.11.2025
25,4015,Не зайшов,,,25,,4070,Обіцяв бути,---,18.11.2025
26,4019,Не зайшов,,,26,,4071,Обіцяв бути,---,18.11.2025
27,4022,Не зайшов,,,27,,4073,Обіцяв бути,---,18.11.2025
28,4024,Не зайшов,,,28,,4074,Обіцяв бути,---,18.11.2025
29,4050,Відклав візит,,,29,,4075,Обіцяв бути,---,18.11.2025
30,4064,Не зайшов,,,30,,4078,Обіцяв бути,---,18.11.2025
31,4070,Не зайшов,,,31,,4084,Обіцяв бути,---,18.11.2025
32,4071,Не зайшов,,,32,,4086,Обіцяв бути,---,19.11.2025
33,4073,Не зайшов,,,33,,4089,Обіцяв бути,---,19.11.2025
34,4074,Не зайшов,,,34,,4090,Обіцяв бути,---,19.11.2025
35,4075,Не зайшов,,,35,,4099,Обіцяв бути,---,19.11.2025
36,4078,Не зайшов,,,36,,4114,Обіцяв бути,---,20.11.2025
37,4083,Відклав візит,,,37,,4116,Обіцяв бути,---,20.11.2025
38,4086,Не зайшов,,,38,,4120,Обіцяв бути,---,20.11.2025
39,4089,Не зайшов,,,39,,4122,Обіцяв бути,---,21.11.2025
40,4090,Не зайшов,,,40,,4128,Обіцяв бути,---,21.11.2025
41,4099,Не зайшов,,,41,,4132,Обіцяв бути,---,21.11.2025
42,4120,Не зайшов,,,42,,4134,Обіцяв бути,---,21.11.2025
43,4128,Не зайшов,,,43,,4135,Відклав візит,08.12.2025,21.11.2025
44,4132,Не зайшов,,,44,,4136,Обіцяв бути,---,21.11.2025
45,4134,Не зайшов,,,45,,4137,Обіцяв бути,---,21.11.2025
46,4135,Не зайшов,,,46,,4142,Обіцяв бути,---,24.11.2025
47,4136,Не зайшов,,,47,,4144,Обіцяв бути,---,24.11.2025
48,4137,Не зайшов,,,48,,4146,Обіцяв бути,---,24.11.2025
49,4142,Не зайшов,,,49,,4162,Відклав візит,10.12.2025,25.11.2025
50,4144,Не зайшов,,,50,,4170,Обіцяв бути,---,25.11.2025
51,4146,Не зайшов,,,51,,4177,Обіцяв бути,---,26.11.2025
52,4161,Відклав візит,,,52,,4183,Обіцяв бути,---,26.11.2025
53,4162,Не зайшов,,,53,,4193,Обіцяв бути,---,26.11.2025
54,4170,Не зайшов,,,54,,4194,Обіцяв бути,---,27.11.2025
55,4177,Не зайшов,,,55,,4197,Обіцяв бути,---,27.11.2025
56,4183,Не зайшов,,,56,,4206,Обіцяв бути,---,27.11.2025
57,4193,Не зайшов,,,57,,4211,Обіцяв бути,---,27.11.2025
58,4194,Не зайшов,,,58,,4223,Обіцяв бути,---,28.11.2025
