"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,13.11.2025 (10:00 - 14:00),,,Поточний прийом:,,14.11.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3874,Зайшов,,,1,,3390,Відклав візит,25.12.2025
2,3882,Зайшов,,,2,,3610,Обіцяв бути,---
3,3915,Зайшов,,,3,,3655,Обіцяв бути,---
4,3931,Зайшов,,,4,,3703,Обіцяв бути,---
5,3933,Відклав візит,,,5,,3812,Обіцяв бути,---
6,3946,Не зайшов,,,6,,3814,Обіцяв бути,---
7,3949,Не зайшов,,,7,,3821,Відклав візит,05.12.2025
8,3959,Не зайшов,,,8,,3828,Обіцяв бути,---
9,3978,Не зайшов,,,9,,3886,Обіцяв бути,---
10,3980,Не зайшов,Остання спроба (не планує приходити),,10,,3894,Обіцяв бути,---
11,3982,Не зайшов,,,11,,3895,Обіцяв бути,---
12,3990,Скасував,Пройшла,,12,,3936,Обіцяв бути,---
13,3999,Не зайшов,Остання спроба,,13,,3946,Обіцяв бути,---
14,4000,Відклав візит,Остання спроба,,14,,3949,Обіцяв бути,---,17.11.2025
15,4001,Відклав візит,Остання спроба,,15,,3959,Обіцяв бути,---,17.11.2025
16,4003,Не зайшов,Остання спроба,,16,,3978,Обіцяв бути,---,17.11.2025
17,4014,Не зайшов,,,17,Остання спроба (не планує приходити),3980,Обіцяв бути,---,17.11.2025
18,4015,Не зайшов,,,18,,3982,Обіцяв бути,---,17.11.2025
19,4019,Не зайшов,,,19,Остання спроба,3999,Обіцяв бути,---,18.11.2025
20,4022,Не зайшов,,,20,Остання спроба,4003,Обіцяв бути,---,19.11.2025
21,4024,Не зайшов,,,21,,4014,Обіцяв бути,---,20.11.2025
22,4041,Не зайшов,,,22,,4015,Обіцяв бути,---,20.11.2025
23,4064,Не зайшов,,,23,,4019,Обіцяв бути,---,20.11.2025
24,4070,Не зайшов,,,24,,4022,Обіцяв бути,---,20.11.2025
25,4071,Не зайшов,,,25,,4024,Обіцяв бути,---,20.11.2025
26,4073,Не зайшов,,,26,,4041,Обіцяв бути,---,20.11.2025
27,4074,Не зайшов,,,27,,4048,Обіцяв бути,---,20.11.2025
28,4075,Не зайшов,,,28,,4049,Обіцяв бути,---,21.11.2025
29,4078,Не зайшов,,,29,,4063,Обіцяв бути,---,21.11.2025
30,4083,Відклав візит,,,30,,4064,Обіцяв бути,---,21.11.2025
31,4084,Не зайшов,,,31,,4067,Відклав візит,08.12.2025,21.11.2025
32,4086,Не зайшов,,,32,,4070,Обіцяв бути,---,24.11.2025
33,4089,Не зайшов,,,33,,4071,Обіцяв бути,---,24.11.2025
34,4090,Не зайшов,,,34,,4073,Обіцяв бути,---,24.11.2025
35,4099,Не зайшов,,,35,,4074,Обіцяв бути,---,25.11.2025
36,4114,Не зайшов,,,36,,4075,Обіцяв бути,---,25.11.2025
37,4116,Не зайшов,,,37,,4078,Обіцяв бути,---,25.11.2025
38,4118,Відклав візит,,,38,,4080,Відклав візит,19.12.2025,25.11.2025
39,4120,Не зайшов,,,39,,4083,Обіцяв бути,---,25.11.2025
40,4128,Не зайшов,,,40,,4084,Обіцяв бути,---,25.11.2025
41,4132,Не зайшов,,,41,,4086,Обіцяв бути,---,26.11.2025
42,4134,Не зайшов,,,42,,4089,Обіцяв бути,---,26.11.2025
43,4135,Не зайшов,,,43,,4090,Обіцяв бути,---,26.11.2025
44,4136,Не зайшов,,,44,,4096,Обіцяв бути,---,27.11.2025
45,4137,Не зайшов,,,45,,4099,Обіцяв бути,---,27.11.2025
46,4142,Не зайшов,,,46,,4114,Обіцяв бути,---,28.11.2025
47,4144,Не зайшов,,,47,,4116,Обіцяв бути,---,28.11.2025
48,4146,Не зайшов,,,48,,4120,Обіцяв бути,---,28.11.2025
49,4162,Не зайшов,,,49,,4128,Обіцяв бути,---,01.12.2025
50,4170,Не зайшов,,,50,,4132,Обіцяв бути,---,01.12.2025
51,4177,Не зайшов,,,51,,4134,Обіцяв бути,---,01.12.2025
52,4183,Не зайшов,,,52,,4135,Відклав візит,08.12.2025,01.12.2025
53,4193,Не зайшов,,,53,,4136,Обіцяв бути,---,02.12.2025
54,4194,Не зайшов,,,54,,4137,Обіцяв бути,---,02.12.2025
55,4197,Не зайшов,,,55,,4142,Обіцяв бути,---,03.12.2025
56,4206,Не зайшов,,,56,,4144,Обіцяв бути,---,03.12.2025
57,4211,Не зайшов,,,57,,4146,Обіцяв бути,---,03.12.2025
58,4223,Не зайшов,,,58,,4150,Обіцяв бути,---,03.12.2025
59,4228,Не зайшов,,,59,,4152,Обіцяв бути,---,03.12.2025
60,4233,Не зайшов,,,60,,4161,Обіцяв бути,---,03.12.2025
61,4234,Не зайшов,,,61,,4162,Відклав візит,10.12.2025,04.12.2025
62,4238,Не зайшов,,,62,,4170,Обіцяв бути,---,04.12.2025
63,4239,Не зайшов,,,63,,4177,Обіцяв бути,---,05.12.2025
64,4240,Не зайшов,,,64,,4183,Обіцяв бути,---,05.12.2025
65,4241,Не зайшов,,,65,,4185,Обіцяв бути,---,05.12.2025
66,4262,Не зайшов,,,66,,4191,Відклав візит,10.12.2025,08.12.2025
67,4263,Не зайшов,,,67,,4193,Обіцяв бути,---,08.12.2025
68,4269,Не зайшов,,,68,,4194,Обіцяв бути,---,08.12.2025
69,4270,Не зайшов,,,69,,4197,Обіцяв бути,---,08.12.2025
70,4277,Не зайшов,,,70,,4206,Обіцяв бути,---,09.12.2025
71,4286,Не зайшов,,,71,,4211,Обіцяв бути,---,09.12.2025
72,4287,Не зайшов,,,72,,4223,Обіцяв бути,---,10.12.2025
73,4294,Не зайшов,,,73,,4224,Обіцяв бути,---,10.12.2025
74,4295,Не зайшов,,,74,,4228,Обіцяв бути,---,11.12.2025
75,4309,Не зайшов,,,75,,4233,Обіцяв бути,---,11.12.2025
76,4319,Не зайшов,,,76,,4234,Обіцяв бути,---,12.12.2025
77,4328,Не зайшов,,,77,,4238,Обіцяв бути,---,12.12.2025
78,4333,Не зайшов,,,78,,4239,Обіцяв бути,---,12.12.2025
79,4338,Не зайшов,,,79,,4240,Обіцяв бути,---,12.12.2025
80,4339,Не зайшов,,,80,,4241,Обіцяв бути,---,15.12.2025
81,4360,Не зайшов,,,81,,4242,Обіцяв бути,---,16.12.2025
82,4363,Не зайшов,,,82,,4244,Відклав візит,08.12.2025,16.12.2025
83,4371,Не зайшов,,,83,,4260,Обіцяв бути,---,16.12.2025
84,4373,Не зайшов,,,84,,4262,Обіцяв бути,---,16.12.2025
85,4390,Не зайшов,,,85,,4263,Обіцяв бути,---,17.12.2025
86,4394,Не зайшов,,,86,,4269,Обіцяв бути,---,17.12.2025
87,4396,Не зайшов,,,87,,4270,Обіцяв бути,---,17.12.2025
88,4406,Не зайшов,,,88,,4277,Обіцяв бути,---,17.12.2025
89,4407,Не зайшов,,,89,,4286,Обіцяв бути,---,17.12.2025
90,4415,Не зайшов,,,90,,4287,Обіцяв бути,---,18.12.2025
91,4417,Не зайшов,,,91,,4294,Обіцяв бути,---,18.12.2025
92,4421,Не зайшов,,,92,,4295,Обіцяв бути,---,19.12.2025
93,4424,Не зайшов,,,93,,4309,Обіцяв бути,---,19.12.2025
94,4427,Не зайшов,,,94,,4319,Обіцяв бути,---,22.12.2025
95,4440,Не зайшов,,,95,,4328,Обіцяв бути,---,22.12.2025
96,4444,Не зайшов,,,96,,4333,Обіцяв бути,---,22.12.2025
97,4457,Не зайшов,,,97,,4338,Обіцяв бути,---,22.12.2025
98,4459,Не зайшов,,,98,,4339,Обіцяв бути,---,23.12.2025
99,4464,Відклав візит,,,99,,4345,Відклав візит,10.12.2025,23.12.2025
100,4470,Не зайшов,,,100,,4354,Обіцяв бути,---,23.12.2025
101,4473,Не зайшов,,,101,,4360,Обіцяв бути,---,24.12.2025
102,4477,Не зайшов,,,102,,4363,Обіцяв бути,---,25.12.2025
103,4484,Не зайшов,,,103,,4371,Обіцяв бути,---,26.12.2025
104,4485,Не зайшов,,,104,,4373,Обіцяв бути,---,26.12.2025
105,4486,Не зайшов,,,105,,4390,Обіцяв бути,---,29.12.2025
106,4517,Не зайшов,,,106,,4394,Обіцяв бути,---,29.12.2025
107,4533,Відклав візит,,,107,,4396,Обіцяв бути,---,29.12.2025
108,4541,Не зайшов,,,108,,4406,Обіцяв бути,---,29.12.2025
109,4552,Не зайшов,,,109,,4407,Обіцяв бути,---,29.12.2025
110,4554,Не зайшов,,,110,,4415,Відклав візит,19.01.2026,30.12.2025
111,4560,Не зайшов,,,111,,4417,Обіцяв бути,---,30.12.2025
112,4564,Відклав візит,,,112,,4421,Обіцяв бути,---,30.12.2025
113,4566,Не зайшов,,,113,,4424,Обіцяв бути,---,30.12.2025
114,4571,Не зайшов,,,114,,4427,Обіцяв бути,---,30.12.2025
115,4572,Не зайшов,,,115,,4440,Обіцяв бути,---,30.12.2025
116,4573,Не зайшов,,,116,,4444,Обіцяв бути,---,30.12.2025
117,4575,Не зайшов,,,117,,4457,Обіцяв бути,---,31.12.2025
118,4577,Не зайшов,,,118,,4459,Обіцяв бути,---,31.12.2025
119,4580,Не зайшов,,,119,,4470,Обіцяв бути,---,31.12.2025
120,4584,Не зайшов,,,120,,4473,Обіцяв бути,---,01.01.2026
121,4586,Не зайшов,,,121,,4476,Обіцяв бути,---,01.01.2026
122,4587,Відклав візит,,,122,,4477,Обіцяв бути,---,02.01.2026
123,4598,Не зайшов,,,123,,4484,Обіцяв бути,---,06.01.2026
124,4605,Не зайшов,,,124,,4485,Обіцяв бути,---,09.01.2026
125,4606,Не зайшов,,,125,,4486,Обіцяв бути,---,09.01.2026
126,4613,Не зайшов,,,126,,4517,Обіцяв бути,---,09.01.2026
127,4623,Не зайшов,,,127,,4541,Обіцяв бути,---,13.01.2026
128,4629,Не зайшов,,,128,,4552,Обіцяв бути,---,13.01.2026
129,4674,Не зайшов,,,129,,4554,Обіцяв бути,---,15.01.2026
130,4724,Не зайшов,,,130,,4560,Обіцяв бути,---
131,4731,Не зайшов,,,131,,4566,Обіцяв бути,---
132,4748,Відклав візит,,,132,,4567,Обіцяв бути,---
133,4764,Відклав візит,,,133,,4571,Обіцяв бути,---
134,,,,,134,,4572,Обіцяв бути,---
135,,,,,135,,4573,Обіцяв бути,---
136,,,,,136,,4575,Обіцяв бути,---
137,,,,,137,,4577,Обіцяв бути,---
138,,,,,138,,4580,Обіцяв бути,---
139,,,,,139,,4581,Відклав візит,05.12.2025
140,,,,,140,,4584,Обіцяв бути,---
141,,,,,141,,4586,Обіцяв бути,---
142,,,,,142,,4598,Обіцяв бути,---
143,,,,,143,,4605,Обіцяв бути,---
144,,,,,144,,4606,Обіцяв бути,---
145,,,,,145,,4607,Обіцяв бути,---
146,,,,,146,,4613,Обіцяв бути,---
147,,,,,147,,4623,Обіцяв бути,---
148,,,,,148,,4629,Обіцяв бути,---
149,,,,,149,,4674,Обіцяв бути,---
150,,,,,150,,4699,Відклав візит,08.12.2025
151,,,,,151,,4704,Обіцяв бути,---
152,,,,,152,,4723,Обіцяв бути,---
153,,,,,153,,4724,Обіцяв бути,---
154,,,,,154,,4731,Обіцяв бути,---
155,,,,,155,,4755,Обіцяв бути,---
156,,,,,156,,4780,Обіцяв бути,---
157,,,,,157,,4786,Обіцяв бути,---
158,,,,,158,,4788,Обіцяв бути,---
159,,,,,159,,4807,Обіцяв бути,---
160,,,,,160,,4810,Відклав візит,23.01.2026
161,,,,,161,,4811,Обіцяв бути,---
162,,,,,162,,4816,Відклав візит,29.12.2025
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
