"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,14.11.2025 (15:00 - 17:30),,,Поточний прийом:,,17.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3812,Зайшов,,,1,,3610,Обіцяв бути,---
2,3814,Зайшов,,,2,,3655,Обіцяв бути,---
3,3894,Зайшов,,,3,,3828,Обіцяв бути,---
4,3895,Зайшов,,,4,,3864,Обіцяв бути,---
5,3936,Зайшов,,,5,,3872,Обіцяв бути,---
6,3946,Зайшов,,,6,,3893,Обіцяв бути,---
7,3949,Скасував,п.8,,7,,3897,Обіцяв бути,---
8,3959,Зайшов,,,8,,3970,Обіцяв бути,---
9,3978,Відклав візит,п.8,,9,,3981,Обіцяв бути,---
10,3980,Не з'явився,В кінець черги,,10,,3986,Обіцяв бути,---
11,3982,Зайшов,,,11,,3987,Обіцяв бути,---
12,3999,Зайшов,Остання спроба,,12,,4005,Обіцяв бути,---
13,4003,Не з'явився,В кінець черги,,13,Остання спроба,4014,Обіцяв бути,---
14,4014,Не з'явився,п.8,,14,Остання спроба,4024,Обіцяв бути,---
15,4015,Скасував,на Іваниса,,15,,4063,Обіцяв бути,---
16,4019,Скасував,,,16,Остання спроба,4070,Обіцяв бути,---,18.11.2025
17,4022,Скасував,на Іваниса,,17,Остання спроба,4071,Обіцяв бути,---,18.11.2025
18,4024,Відклав візит,п.8,,18,Остання спроба,4074,Обіцяв бути,---,18.11.2025
19,4041,Відклав візит,п.8,,19,Остання спроба,4075,Обіцяв бути,---,18.11.2025
20,4064,Скасував,п.8,,20,Остання спроба,4078,Обіцяв бути,---,19.11.2025
21,4070,Не з'явився,п.8,,21,,4083,Обіцяв бути,---,19.11.2025
22,4071,Не з'явився,п.8,,22,,4086,Обіцяв бути,---,19.11.2025
23,4073,Скасував,п.8,,23,,4089,Обіцяв бути,---,20.11.2025
24,4074,Не з'явився,п.8,,24,,4090,Обіцяв бути,---,20.11.2025
25,4075,Не з'явився,п.8,,25,,4097,Обіцяв бути,---,20.11.2025
26,4078,Не з'явився,п.8,,26,,4099,Обіцяв бути,---,20.11.2025
27,4084,Зайшов,,,27,,4114,Обіцяв бути,---,20.11.2025
28,4086,Не зайшов,,,28,,4116,Обіцяв бути,---,20.11.2025
29,4089,Не зайшов,,,29,,4120,Обіцяв бути,---,20.11.2025
30,4090,Не зайшов,,,30,,4128,Обіцяв бути,---,20.11.2025
31,4099,Не зайшов,,,31,,4132,Обіцяв бути,---,21.11.2025
32,4114,Не зайшов,,,32,,4134,Обіцяв бути,---,21.11.2025
33,4116,Не зайшов,,,33,,4135,Відклав візит,08.12.2025,21.11.2025
34,4120,Не зайшов,,,34,,4136,Обіцяв бути,---,21.11.2025
35,4128,Не зайшов,,,35,,4137,Обіцяв бути,---,21.11.2025
36,4132,Не зайшов,,,36,,4142,Обіцяв бути,---,24.11.2025
37,4134,Не зайшов,,,37,,4144,Обіцяв бути,---,24.11.2025
38,4135,Не зайшов,,,38,,4146,Обіцяв бути,---,24.11.2025
39,4136,Не зайшов,,,39,,4150,Обіцяв бути,---,25.11.2025
40,4137,Не зайшов,,,40,,4152,Обіцяв бути,---,25.11.2025
41,4142,Не зайшов,,,41,,4162,Відклав візит,10.12.2025,25.11.2025
42,4144,Не зайшов,,,42,,4170,Обіцяв бути,---,26.11.2025
43,4146,Не зайшов,,,43,,4177,Обіцяв бути,---,26.11.2025
44,4162,Не зайшов,,,44,,4183,Обіцяв бути,---,26.11.2025
45,4170,Не зайшов,,,45,,4193,Обіцяв бути,---,27.11.2025
46,4177,Не зайшов,,,46,,4194,Обіцяв бути,---,27.11.2025
47,4183,Не зайшов,,,47,,4197,Обіцяв бути,---,27.11.2025
48,4193,Не зайшов,,,48,,4206,Обіцяв бути,---,27.11.2025
49,4194,Не зайшов,,,49,,4211,Обіцяв бути,---,27.11.2025
50,4197,Не зайшов,,,50,,4223,Обіцяв бути,---,27.11.2025
51,4206,Не зайшов,,,51,,4228,Обіцяв бути,---,27.11.2025
52,4211,Не зайшов,,,52,,4232,Відклав візит,12.12.2025,27.11.2025
53,4223,Не зайшов,,,53,,4233,Обіцяв бути,---,27.11.2025
54,4228,Не зайшов,,,54,,4234,Обіцяв бути,---,28.11.2025
55,4233,Не зайшов,,,55,,4238,Обіцяв бути,---,28.11.2025
56,4234,Не зайшов,,,56,,4239,Обіцяв бути,---,28.11.2025
57,4238,Не зайшов,,,57,,4240,Обіцяв бути,---,01.12.2025
58,4239,Не зайшов,,,58,,4241,Обіцяв бути,---,01.12.2025
59,4240,Не зайшов,,,59,,4242,Обіцяв бути,---,01.12.2025
60,4241,Не зайшов,,,60,,4260,Обіцяв бути,---,02.12.2025
61,4262,Не зайшов,,,61,,4262,Обіцяв бути,---,02.12.2025
62,4263,Не зайшов,,,62,,4263,Обіцяв бути,---,02.12.2025
63,4269,Не зайшов,,,63,,4269,Обіцяв бути,---,02.12.2025
64,4270,Не зайшов,,,64,,4270,Обіцяв бути,---,03.12.2025
65,4277,Не зайшов,,,65,,4277,Обіцяв бути,---,03.12.2025
66,4286,Не зайшов,,,66,,4286,Обіцяв бути,---,04.12.2025
67,4287,Не зайшов,,,67,,4287,Обіцяв бути,---,04.12.2025
68,4294,Не зайшов,,,68,,4294,Обіцяв бути,---,04.12.2025
69,4295,Не зайшов,,,69,,4295,Обіцяв бути,---,04.12.2025
70,4309,Не зайшов,,,70,,4309,Обіцяв бути,---,05.12.2025
71,4319,Не зайшов,,,71,,4319,Обіцяв бути,---,05.12.2025
72,4328,Не зайшов,,,72,,4328,Обіцяв бути,---,05.12.2025
73,4333,Не зайшов,,,73,,4333,Обіцяв бути,---,08.12.2025
74,4338,Не зайшов,,,74,,4338,Обіцяв бути,---,08.12.2025
75,4339,Не зайшов,,,75,,4339,Обіцяв бути,---,09.12.2025
76,4360,Не зайшов,,,76,,4354,Обіцяв бути,---,09.12.2025
77,4363,Не зайшов,,,77,,4360,Обіцяв бути,---,09.12.2025
