"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,17.11.2025 (8:30 - 14:00),,,Поточний прийом:,,18.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3610,Зайшов,,,1,,3703,Обіцяв бути,---
2,3655,Зайшов,,,2,,3755,Обіцяв бути,---
3,3828,Зайшов,,,3,,3864,Обіцяв бути,---
4,3981,Не зайшов,,,4,,3872,Обіцяв бути,---
5,4005,Не зайшов,,,5,,3893,Обіцяв бути,---
6,4014,Не зайшов,Остання спроба,,6,,3897,Обіцяв бути,---
7,4048,Відклав візит,,,7,,3970,Обіцяв бути,---
8,4063,Не зайшов,,,8,,3981,Обіцяв бути,---
9,4070,Не зайшов,Остання спроба,,9,,3986,Обіцяв бути,---
10,4071,Не зайшов,Остання спроба,,10,,3987,Обіцяв бути,---
11,4074,Не зайшов,Остання спроба,,11,,3998,Обіцяв бути,---
12,4075,Не зайшов,Остання спроба,,12,,4005,Обіцяв бути,---
13,4078,Не зайшов,Остання спроба,,13,Остання спроба,4014,Обіцяв бути,---
14,4080,Відклав візит,,,14,Остання спроба,4024,Обіцяв бути,---
15,4083,Не зайшов,,,15,,4032,Обіцяв бути,---
16,4086,Не зайшов,,,16,,4047,Обіцяв бути,---
17,4089,Не зайшов,,,17,,4063,Обіцяв бути,---
18,4090,Не зайшов,,,18,,4069,Обіцяв бути,---
19,4099,Не зайшов,,,19,Остання спроба,4070,Обіцяв бути,---,19.11.2025
20,4114,Не зайшов,,,20,Остання спроба,4071,Обіцяв бути,---,19.11.2025
21,4116,Не зайшов,,,21,,4072,Обіцяв бути,---,19.11.2025
22,4120,Не зайшов,,,22,Остання спроба,4074,Обіцяв бути,---,19.11.2025
23,4128,Не зайшов,,,23,Остання спроба,4075,Обіцяв бути,---,19.11.2025
24,4132,Не зайшов,,,24,Остання спроба,4078,Обіцяв бути,---,20.11.2025
25,4134,Не зайшов,,,25,,4083,Обіцяв бути,---,20.11.2025
26,4135,Не зайшов,,,26,,4085,Обіцяв бути,---,20.11.2025
27,4136,Не зайшов,,,27,,4086,Обіцяв бути,---,21.11.2025
28,4137,Не зайшов,,,28,,4089,Обіцяв бути,---,21.11.2025
29,4142,Не зайшов,,,29,,4090,Обіцяв бути,---,21.11.2025
30,4144,Не зайшов,,,30,,4093,Обіцяв бути,---,21.11.2025
31,4146,Не зайшов,,,31,,4097,Обіцяв бути,---,21.11.2025
32,4150,Не зайшов,,,32,,4114,Обіцяв бути,---,21.11.2025
33,4152,Відклав візит,,,33,,4116,Обіцяв бути,---,24.11.2025
34,4161,Відклав візит,,,34,,4118,Обіцяв бути,---,24.11.2025
35,4162,Не зайшов,,,35,,4120,Обіцяв бути,---,24.11.2025
36,4170,Не зайшов,,,36,,4128,Обіцяв бути,---,24.11.2025
37,4177,Не зайшов,,,37,,4132,Обіцяв бути,---,25.11.2025
38,4183,Не зайшов,,,38,,4134,Обіцяв бути,---,25.11.2025
39,4193,Не зайшов,,,39,,4135,Відклав візит,08.12.2025,25.11.2025
40,4194,Не зайшов,,,40,,4136,Обіцяв бути,---,26.11.2025
41,4197,Не зайшов,,,41,,4137,Обіцяв бути,---,26.11.2025
42,4206,Не зайшов,,,42,,4142,Обіцяв бути,---,27.11.2025
43,4211,Не зайшов,,,43,,4144,Обіцяв бути,---,27.11.2025
44,4223,Не зайшов,,,44,,4146,Обіцяв бути,---,27.11.2025
45,4228,Не зайшов,,,45,,4148,Обіцяв бути,---,27.11.2025
46,4233,Не зайшов,,,46,,4150,Обіцяв бути,---,28.11.2025
47,4234,Не зайшов,,,47,,4152,Обіцяв бути,---,28.11.2025
48,4238,Не зайшов,,,48,,4162,Відклав візит,10.12.2025,28.11.2025
49,4239,Не зайшов,,,49,,4170,Обіцяв бути,---,01.12.2025
50,4240,Не зайшов,,,50,,4171,Обіцяв бути,---,01.12.2025
51,4241,Не зайшов,,,51,,4177,Обіцяв бути,---,01.12.2025
52,4242,Не зайшов,,,52,,4183,Обіцяв бути,---,01.12.2025
53,4244,Відклав візит,,,53,,4193,Обіцяв бути,---,01.12.2025
54,4260,Не зайшов,,,54,,4194,Обіцяв бути,---,01.12.2025
55,4262,Не зайшов,,,55,,4197,Обіцяв бути,---,01.12.2025
56,4263,Не зайшов,,,56,,4206,Обіцяв бути,---,01.12.2025
57,4269,Не зайшов,,,57,,4211,Обіцяв бути,---,02.12.2025
58,4270,Не зайшов,,,58,,4218,Обіцяв бути,---,02.12.2025
59,4277,Не зайшов,,,59,,4223,Обіцяв бути,---,02.12.2025
60,4286,Не зайшов,,,60,,4228,Обіцяв бути,---,03.12.2025
61,4287,Не зайшов,,,61,,4233,Обіцяв бути,---,03.12.2025
62,4294,Не зайшов,,,62,,4234,Обіцяв бути,---,03.12.2025
63,4295,Не зайшов,,,63,,4238,Обіцяв бути,---,04.12.2025
64,4309,Не зайшов,,,64,,4239,Обіцяв бути,---,04.12.2025
65,4319,Не зайшов,,,65,,4240,Обіцяв бути,---,04.12.2025
66,4328,Не зайшов,,,66,,4241,Обіцяв бути,---,04.12.2025
67,4333,Не зайшов,,,67,,4242,Обіцяв бути,---,05.12.2025
68,4338,Не зайшов,,,68,,4257,Відклав візит,08.12.2025,08.12.2025
69,4339,Не зайшов,,,69,,4260,Обіцяв бути,---,08.12.2025
70,4354,Не зайшов,,,70,,4262,Обіцяв бути,---,08.12.2025
71,4360,Не зайшов,,,71,,4263,Обіцяв бути,---,09.12.2025
72,4363,Не зайшов,,,72,,4269,Обіцяв бути,---,09.12.2025
73,4371,Не зайшов,,,73,,4270,Обіцяв бути,---,09.12.2025
74,4373,Не зайшов,,,74,,4277,Обіцяв бути,---,10.12.2025
75,4390,Не зайшов,,,75,,4286,Обіцяв бути,---,10.12.2025
76,4394,Не зайшов,,,76,,4287,Обіцяв бути,---,10.12.2025
77,4396,Не зайшов,,,77,,4294,Обіцяв бути,---,11.12.2025
78,4406,Не зайшов,,,78,,4295,Обіцяв бути,---,11.12.2025
79,4407,Не зайшов,,,79,,4309,Обіцяв бути,---,12.12.2025
80,4415,Не зайшов,,,80,,4319,Обіцяв бути,---,12.12.2025
81,4417,Не зайшов,,,81,,4328,Обіцяв бути,---,12.12.2025
82,4421,Не зайшов,,,82,,4333,Обіцяв бути,---,12.12.2025
83,4424,Не зайшов,,,83,,4338,Обіцяв бути,---,15.12.2025
84,4427,Не зайшов,,,84,,4339,Обіцяв бути,---,15.12.2025
85,4440,Не зайшов,,,85,,4354,Обіцяв бути,---,15.12.2025
86,4444,Не зайшов,,,86,,4360,Обіцяв бути,---,15.12.2025
87,4457,Не зайшов,,,87,,4363,Обіцяв бути,---,16.12.2025
88,4459,Не зайшов,,,88,,4371,Обіцяв бути,---,16.12.2025
89,4470,Не зайшов,,,89,,4373,Обіцяв бути,---,16.12.2025
90,4473,Не зайшов,,,90,,4390,Обіцяв бути,---,17.12.2025
91,4476,Не зайшов,,,91,,4394,Обіцяв бути,---,17.12.2025
92,4477,Не зайшов,,,92,,4396,Обіцяв бути,---,18.12.2025
93,4484,Не зайшов,,,93,,4406,Обіцяв бути,---,18.12.2025
94,4485,Не зайшов,,,94,,4407,Обіцяв бути,---,18.12.2025
95,4486,Не зайшов,,,95,,4417,Обіцяв бути,---,18.12.2025
96,4517,Не зайшов,,,96,,4421,Обіцяв бути,---,18.12.2025
97,4541,Не зайшов,,,97,,4424,Обіцяв бути,---,18.12.2025
98,4552,Не зайшов,,,98,,4427,Обіцяв бути,---,18.12.2025
99,4554,Не зайшов,,,99,,4440,Обіцяв бути,---,18.12.2025
100,4560,Не зайшов,,,100,,4444,Обіцяв бути,---,19.12.2025
