"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,18.11.2025 (8:30 - 14:00),,,Поточний прийом:,,19.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3864,Зайшов,,,1,,3612,Обіцяв бути,---
2,3872,Зайшов,,,2,,3703,Обіцяв бути,---
3,3893,Зайшов,,,3,,3755,Обіцяв бути,---
4,3897,Зайшов,,,4,,3998,Обіцяв бути,---
5,3970,Зайшов,,,5,Остання спроба,4011,Обіцяв бути,---
6,3981,Зайшов,,,6,,4029,Обіцяв бути,---
7,3986,Зайшов,,,7,,4030,Обіцяв бути,---
8,3987,Зайшов,,,8,,4031,Обіцяв бути,---
9,4005,Зайшов,,,9,,4032,Обіцяв бути,---
10,4014,Не з'явився,В кінець черги,,10,,4047,Обіцяв бути,---
11,4024,Зайшов,Остання спроба,,11,Остання спроба,4048,Обіцяв бути,---
12,4063,Не з'явився,п.8,,12,Остання спроба,4063,Обіцяв бути,---
13,4070,Не з'явився,В кінець черги,,13,,4069,Обіцяв бути,---,20.11.2025
14,4071,Зайшов,Остання спроба,,14,,4072,Обіцяв бути,---,21.11.2025
15,4074,Не з'явився,В кінець черги,,15,,4074,Обіцяв бути,---,21.11.2025
16,4075,Зайшов,Остання спроба,,16,,4085,Обіцяв бути,---,21.11.2025
17,4078,Не з'явився,В кінець черги,,17,Остання спроба,4089,Обіцяв бути,---,21.11.2025
18,4083,Зайшов,,,18,,4105,Відклав візит,08.12.2025,21.11.2025
19,4086,Скасував,на Іваниса,,19,,4114,Обіцяв бути,---,24.11.2025
20,4089,Не з'явився,п.8,,20,,4116,Обіцяв бути,---,24.11.2025
21,4090,Зайшов,,,21,,4118,Обіцяв бути,---,24.11.2025
22,4097,Зайшов,,,22,,4120,Обіцяв бути,---,24.11.2025
23,4099,Відклав візит,,,23,,4128,Обіцяв бути,---,24.11.2025
24,4114,Не зайшов,,,24,повідомити якщо буде можливість раніше,4130,Обіцяв бути,---,24.11.2025
25,4116,Не зайшов,,,25,,4132,Обіцяв бути,---,24.11.2025
26,4120,Не зайшов,,,26,,4134,Обіцяв бути,---,24.11.2025
27,4128,Не зайшов,,,27,,4135,Відклав візит,08.12.2025,24.11.2025
28,4132,Не зайшов,,,28,,4136,Обіцяв бути,---,25.11.2025
29,4134,Не зайшов,,,29,,4137,Обіцяв бути,---,25.11.2025
30,4135,Не зайшов,,,30,,4142,Обіцяв бути,---,26.11.2025
31,4136,Не зайшов,,,31,,4144,Обіцяв бути,---,26.11.2025
32,4137,Не зайшов,,,32,,4146,Обіцяв бути,---,26.11.2025
33,4142,Не зайшов,,,33,,4148,Обіцяв бути,---,26.11.2025
34,4144,Не зайшов,,,34,,4150,Обіцяв бути,---,27.11.2025
35,4146,Не зайшов,,,35,,4152,Обіцяв бути,---,27.11.2025
36,4150,Не зайшов,,,36,,4161,Обіцяв бути,---,27.11.2025
37,4161,Відклав візит,,,37,,4162,Відклав візит,10.12.2025,28.11.2025
38,4162,Не зайшов,,,38,,4170,Обіцяв бути,---,28.11.2025
39,4170,Не зайшов,,,39,,4171,Обіцяв бути,---,28.11.2025
40,4177,Не зайшов,,,40,,4176,Відклав візит,10.12.2025,01.12.2025
41,4183,Не зайшов,,,41,,4177,Обіцяв бути,---,01.12.2025
42,4193,Не зайшов,,,42,,4183,Обіцяв бути,---,01.12.2025
43,4194,Не зайшов,,,43,,4185,Обіцяв бути,---,01.12.2025
44,4197,Не зайшов,,,44,,4193,Обіцяв бути,---,01.12.2025
45,4206,Не зайшов,,,45,,4194,Обіцяв бути,---,01.12.2025
