"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,19.11.2025 (8:30 - 14:00),,,Поточний прийом:,,20.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3703,Зайшов,,,1,,3612,Обіцяв бути,---
2,3755,Зайшов,,,2,,3916,Обіцяв бути,---
3,3998,Не зайшов,,,3,,3960,Обіцяв бути,---
4,4031,Не зайшов,,,4,,3998,Обіцяв бути,---
5,4032,Не зайшов,,,5,Остання спроба,4011,Обіцяв бути,---
6,4047,Не зайшов,,,6,,4029,Обіцяв бути,---
7,4063,Не зайшов,Остання спроба,,7,,4030,Обіцяв бути,---
8,4069,Не зайшов,,,8,,4031,Обіцяв бути,---
9,4072,Не зайшов,,,9,,4032,Обіцяв бути,---
10,4085,Не зайшов,,,10,,4045,Обіцяв бути,---
11,4089,Не зайшов,Остання спроба,,11,,4047,Обіцяв бути,---
12,4093,Відклав візит,,,12,Остання спроба,4048,Обіцяв бути,---
13,4114,Не зайшов,,,13,Остання спроба,4063,Обіцяв бути,---
14,4116,Не зайшов,,,14,,4069,Обіцяв бути,---
15,4118,Не зайшов,,,15,,4072,Обіцяв бути,---
16,4120,Не зайшов,,,16,Остання спроба,4074,Обіцяв бути,---,21.11.2025
17,4128,Не зайшов,,,17,Остання спроба,4089,Обіцяв бути,---,21.11.2025
18,4132,Не зайшов,,,18,Остання спроба,4093,Обіцяв бути,---,24.11.2025
19,4134,Не зайшов,,,19,,4114,Обіцяв бути,---,24.11.2025
20,4135,Не зайшов,,,20,,4116,Обіцяв бути,---,24.11.2025
21,4136,Не зайшов,,,21,,4120,Обіцяв бути,---,24.11.2025
22,4137,Не зайшов,,,22,,4122,Обіцяв бути,---,24.11.2025
23,4142,Не зайшов,,,23,,4128,Обіцяв бути,---,24.11.2025
24,4144,Не зайшов,,,24,повідомити якщо буде можливість раніше,4130,Обіцяв бути,---,25.11.2025
25,4146,Не зайшов,,,25,,4132,Обіцяв бути,---,25.11.2025
26,4148,Не зайшов,,,26,,4134,Обіцяв бути,---,25.11.2025
27,4150,Не зайшов,,,27,,4135,Відклав візит,08.12.2025,25.11.2025
28,4152,Не зайшов,,,28,,4136,Обіцяв бути,---,25.11.2025
29,4162,Не зайшов,,,29,,4137,Обіцяв бути,---,25.11.2025
30,4170,Не зайшов,,,30,,4142,Обіцяв бути,---,25.11.2025
31,4171,Не зайшов,,,31,,4144,Обіцяв бути,---,25.11.2025
32,4177,Не зайшов,,,32,,4146,Обіцяв бути,---,25.11.2025
33,4183,Не зайшов,,,33,,4148,Обіцяв бути,---,26.11.2025
34,4193,Не зайшов,,,34,,4150,Обіцяв бути,---,26.11.2025
35,4194,Не зайшов,,,35,,4152,Обіцяв бути,---,26.11.2025
36,4197,Не зайшов,,,36,,4161,Обіцяв бути,---,27.11.2025
37,4206,Не зайшов,,,37,,4162,Відклав візит,10.12.2025,27.11.2025
38,4218,Не зайшов,,,38,,4170,Обіцяв бути,---,27.11.2025
39,4223,Не зайшов,,,39,,4171,Обіцяв бути,---,27.11.2025
40,4228,Не зайшов,,,40,,4177,Обіцяв бути,---,27.11.2025
41,4233,Не зайшов,,,41,,4183,Обіцяв бути,---,27.11.2025
42,4234,Не зайшов,,,42,,4193,Обіцяв бути,---,28.11.2025
43,4238,Не зайшов,,,43,,4194,Обіцяв бути,---,28.11.2025
44,4239,Скасував,проходить на Іваниса,,44,,4197,Обіцяв бути,---,28.11.2025
45,4240,Не зайшов,,,45,,4206,Обіцяв бути,---,01.12.2025
46,4241,Не зайшов,,,46,,4218,Обіцяв бути,---,01.12.2025
47,4242,Не зайшов,,,47,,4223,Обіцяв бути,---,01.12.2025
48,4257,Відклав візит,,,48,,4228,Обіцяв бути,---,02.12.2025
49,4260,Не зайшов,,,49,,4233,Обіцяв бути,---,02.12.2025
50,4262,Не зайшов,,,50,,4234,Обіцяв бути,---,02.12.2025
51,4263,Не зайшов,,,51,,4238,Обіцяв бути,---,02.12.2025
52,4269,Не зайшов,,,52,,4240,Обіцяв бути,---,02.12.2025
53,4270,Не зайшов,,,53,,4241,Обіцяв бути,---,02.12.2025
54,4277,Не зайшов,,,54,,4260,Обіцяв бути,---,03.12.2025
55,4286,Не зайшов,,,55,,4262,Обіцяв бути,---,04.12.2025
56,4287,Не зайшов,,,56,,4263,Обіцяв бути,---,04.12.2025
57,4294,Не зайшов,,,57,,4269,Обіцяв бути,---,04.12.2025
58,4295,Не зайшов,,,58,,4270,Обіцяв бути,---,04.12.2025
59,4309,Не зайшов,,,59,,4277,Обіцяв бути,---,04.12.2025
60,4319,Не зайшов,,,60,,4286,Обіцяв бути,---,04.12.2025
61,4328,Не зайшов,,,61,,4287,Обіцяв бути,---,05.12.2025
62,4333,Не зайшов,,,62,,4292,Обіцяв бути,---,05.12.2025
63,4338,Не зайшов,,,63,,4294,Обіцяв бути,---,05.12.2025
64,4339,Не зайшов,,,64,,4295,Обіцяв бути,---,05.12.2025
65,4354,Не зайшов,,,65,,4309,Обіцяв бути,---,05.12.2025
66,4360,Не зайшов,,,66,,4315,Обіцяв бути,---,05.12.2025
67,4363,Не зайшов,,,67,,4319,Обіцяв бути,---,08.12.2025
68,4371,Не зайшов,,,68,,4328,Обіцяв бути,---,09.12.2025
69,4373,Не зайшов,,,69,,4333,Обіцяв бути,---,09.12.2025
70,4390,Не зайшов,,,70,,4338,Обіцяв бути,---,09.12.2025
71,4394,Не зайшов,,,71,,4339,Обіцяв бути,---,10.12.2025
72,4396,Не зайшов,,,72,,4354,Обіцяв бути,---,10.12.2025
73,4406,Не зайшов,,,73,,4356,Відклав візит,10.12.2025,10.12.2025
74,4407,Не зайшов,,,74,,4360,Обіцяв бути,---,11.12.2025
75,4417,Не зайшов,,,75,,4363,Обіцяв бути,---,11.12.2025
76,4421,Не зайшов,,,76,,4371,Обіцяв бути,---,11.12.2025
77,4424,Не зайшов,,,77,,4373,Обіцяв бути,---,12.12.2025
78,4427,Не зайшов,,,78,,4377,Відклав візит,09.12.2025,12.12.2025
