"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,20.11.2025 (8:30 - 14:00),,,Поточний прийом:,,21.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3612,Не з'явився,п.8,,1,,1911,Обіцяв бути,---
2,3998,Зайшов,,,2,,3302,Відклав візит,23.12.2025
3,4011,Зайшов,Остання спроба,,3,,3569,Обіцяв бути,---
4,4029,Не з'явився,п.8,,4,Остання спроба,3612,Обіцяв бути,---
5,4030,Не з'явився,п.8,,5,,3729,Відклав візит,12.12.2025
6,4031,Зайшов,,,6,,3837,Обіцяв бути,---
7,4032,Не зайшов,,,7,,3916,Обіцяв бути,---
8,4047,Не зайшов,,,8,,3943,Обіцяв бути,---
9,4048,Не зайшов,Остання спроба,,9,,3960,Обіцяв бути,---
10,4063,Не зайшов,Остання спроба,,10,Остання спроба,3978,Обіцяв бути,---
11,4069,Не зайшов,,,11,Остання спроба,4029,Обіцяв бути,---
12,4072,Не зайшов,,,12,Остання спроба,4030,Обіцяв бути,---
13,4074,Не зайшов,Остання спроба,,13,,4032,Обіцяв бути,---
14,4085,Відклав візит,,,14,,4045,Обіцяв бути,---
15,4089,Не зайшов,Остання спроба,,15,,4047,Обіцяв бути,---
16,4105,Відклав візит,,,16,Остання спроба,4048,Обіцяв бути,---,25.11.2025
17,4114,Не зайшов,,,17,,4049,Обіцяв бути,---,25.11.2025
18,4116,Не зайшов,,,18,Остання спроба,4063,Обіцяв бути,---,25.11.2025
19,4118,Відклав візит,,,19,,4069,Обіцяв бути,---,25.11.2025
20,4120,Не зайшов,,,20,,4072,Обіцяв бути,---,25.11.2025
21,4128,Не зайшов,,,21,Остання спроба,4074,Обіцяв бути,---,26.11.2025
22,4130,Не зайшов,повідомити якщо буде можливість раніше,,22,Остання спроба,4089,Обіцяв бути,---,26.11.2025
23,4132,Не зайшов,,,23,Остання спроба,4093,Обіцяв бути,---,26.11.2025
24,4134,Не зайшов,,,24,,4098,Обіцяв бути,---,26.11.2025
25,4135,Не зайшов,,,25,,4103,Обіцяв бути,---,26.11.2025
26,4136,Не зайшов,,,26,,4107,Відклав візит,10.12.2025,26.11.2025
27,4137,Не зайшов,,,27,,4114,Обіцяв бути,---,26.11.2025
28,4142,Не зайшов,,,28,,4115,Обіцяв бути,---,26.11.2025
29,4144,Не зайшов,,,29,,4116,Обіцяв бути,---,27.11.2025
30,4146,Не зайшов,,,30,,4120,Обіцяв бути,---,27.11.2025
31,4148,Не зайшов,,,31,,4122,Обіцяв бути,---,27.11.2025
32,4150,Не зайшов,,,32,,4128,Обіцяв бути,---,27.11.2025
33,4152,Не зайшов,,,33,,4130,Обіцяв бути,---,27.11.2025
34,4161,Не зайшов,,,34,,4132,Обіцяв бути,---,28.11.2025
35,4162,Не зайшов,,,35,,4134,Обіцяв бути,---,28.11.2025
36,4170,Не зайшов,,,36,,4135,Відклав візит,08.12.2025,28.11.2025
37,4171,Не зайшов,,,37,,4136,Обіцяв бути,---,28.11.2025
38,4176,Відклав візит,,,38,,4137,Обіцяв бути,---,01.12.2025
39,4177,Не зайшов,,,39,,4142,Обіцяв бути,---,01.12.2025
40,4183,Не зайшов,,,40,,4144,Обіцяв бути,---,02.12.2025
41,4185,Відклав візит,,,41,,4146,Обіцяв бути,---,02.12.2025
42,4193,Не зайшов,,,42,,4148,Обіцяв бути,---,02.12.2025
43,4194,Не зайшов,,,43,,4150,Обіцяв бути,---,03.12.2025
44,4197,Не зайшов,,,44,,4152,Обіцяв бути,---,03.12.2025
45,4206,Не зайшов,,,45,,4161,Обіцяв бути,---,04.12.2025
46,4218,Не зайшов,,,46,,4162,Відклав візит,10.12.2025,04.12.2025
47,4223,Не зайшов,,,47,,4170,Обіцяв бути,---,04.12.2025
48,4228,Не зайшов,,,48,,4171,Обіцяв бути,---,04.12.2025
49,4233,Не зайшов,,,49,,4175,Відклав візит,22.12.2025,04.12.2025
50,4234,Не зайшов,,,50,,4177,Обіцяв бути,---,04.12.2025
51,4238,Не зайшов,,,51,,4183,Обіцяв бути,---,05.12.2025
52,4240,Не зайшов,,,52,,4185,Обіцяв бути,---,08.12.2025
53,4241,Не зайшов,,,53,,4193,Обіцяв бути,---,08.12.2025
54,4242,Відклав візит,,,54,,4194,Обіцяв бути,---,08.12.2025
55,4260,Не зайшов,,,55,,4197,Обіцяв бути,---,08.12.2025
56,4262,Не зайшов,,,56,,4204,Відклав візит,08.12.2025,08.12.2025
57,4263,Не зайшов,,,57,,4206,Обіцяв бути,---,09.12.2025
58,4269,Не зайшов,,,58,,4218,Обіцяв бути,---,09.12.2025
59,4270,Не зайшов,,,59,,4223,Обіцяв бути,---,09.12.2025
60,4277,Не зайшов,,,60,,4228,Обіцяв бути,---,10.12.2025
61,4285,Відклав візит,,,61,,4233,Обіцяв бути,---,10.12.2025
62,4286,Не зайшов,,,62,,4234,Обіцяв бути,---,10.12.2025
63,4287,Не зайшов,,,63,,4238,Обіцяв бути,---,11.12.2025
64,4292,Не зайшов,,,64,,4240,Обіцяв бути,---,11.12.2025
65,4294,Не зайшов,,,65,,4241,Обіцяв бути,---,11.12.2025
