"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,21.11.2025 (8:30 - 14:00),,,Поточний прийом:,,24.11.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3612,Не з'явився,В кінець черги,,1,,1911,Обіцяв бути,---
2,3916,Зайшов,,,2,,3569,Обіцяв бути,---
3,3960,Зайшов,,,3,,3837,Обіцяв бути,---
4,4029,Не з'явився,В кінець черги,,4,,3943,Обіцяв бути,---
5,4030,Не з'явився,В кінець черги,,5,Остання спроба,4032,Обіцяв бути,---
6,4032,Не з'явився,п.8,,6,,4049,Обіцяв бути,---
7,4045,Відклав візит,Остання спроба,,7,Остання спроба,4072,Обіцяв бути,---
8,4047,Зайшов,,,8,Остання спроба,4074,Обіцяв бути,---
9,4048,Зайшов,Остання спроба,,9,,4093,Обіцяв бути,---
10,4063,Не з'явився,В кінець черги,,10,,4098,Обіцяв бути,---
11,4069,Зайшов,,,11,,4103,Обіцяв бути,---
12,4072,Не з'явився,п.8,,12,,4115,Обіцяв бути,---
13,4074,Не з'явився,п.8,,13,,4128,Обіцяв бути,---,25.11.2025
14,4089,Не з'явився,В кінець черги,,14,,4132,Обіцяв бути,---,25.11.2025
15,4093,Відклав візит,Остання спроба,,15,,4134,Обіцяв бути,---,25.11.2025
16,4114,Скасував,ВЛК пройшов,,16,,4135,Відклав візит,08.12.2025,25.11.2025
17,4116,Скасував,п.8,,17,,4136,Обіцяв бути,---,25.11.2025
18,4120,Скасував,п.8,,18,,4137,Обіцяв бути,---,25.11.2025
19,4122,Зайшов,,,19,,4142,Обіцяв бути,---,26.11.2025
20,4128,Не зайшов,,,20,,4144,Обіцяв бути,---,26.11.2025
21,4130,Відклав візит,,,21,,4146,Обіцяв бути,---,26.11.2025
22,4132,Не зайшов,,,22,,4148,Обіцяв бути,---,26.11.2025
23,4134,Не зайшов,,,23,,4150,Обіцяв бути,---,26.11.2025
24,4135,Не зайшов,,,24,,4152,Обіцяв бути,---,26.11.2025
25,4136,Не зайшов,,,25,,4161,Обіцяв бути,---,27.11.2025
26,4137,Не зайшов,,,26,,4162,Відклав візит,10.12.2025,27.11.2025
27,4142,Не зайшов,,,27,,4170,Обіцяв бути,---,27.11.2025
28,4144,Не зайшов,,,28,,4171,Обіцяв бути,---,27.11.2025
29,4146,Не зайшов,,,29,,4177,Обіцяв бути,---,28.11.2025
30,4148,Не зайшов,,,30,,4183,Обіцяв бути,---,28.11.2025
31,4150,Не зайшов,,,31,,4185,Обіцяв бути,---,28.11.2025
32,4152,Не зайшов,,,32,,4193,Обіцяв бути,---,01.12.2025
33,4161,Не зайшов,,,33,,4194,Обіцяв бути,---,01.12.2025
34,4162,Не зайшов,,,34,,4197,Обіцяв бути,---,01.12.2025
35,4170,Не зайшов,,,35,,4206,Обіцяв бути,---,01.12.2025
36,4171,Не зайшов,,,36,,4218,Обіцяв бути,---,02.12.2025
37,4177,Не зайшов,,,37,,4223,Обіцяв бути,---,02.12.2025
38,4183,Не зайшов,,,38,,4228,Обіцяв бути,---,03.12.2025
39,4193,Не зайшов,,,39,,4233,Обіцяв бути,---,03.12.2025
40,4194,Не зайшов,,,40,,4234,Обіцяв бути,---,03.12.2025
41,4197,Не зайшов,,,41,,4238,Обіцяв бути,---,03.12.2025
42,4206,Не зайшов,,,42,,4240,Обіцяв бути,---,03.12.2025
43,4218,Не зайшов,,,43,,4241,Обіцяв бути,---,03.12.2025
44,4223,Не зайшов,,,44,,4242,Обіцяв бути,---,04.12.2025
45,4228,Не зайшов,,,45,,4244,Відклав візит,08.12.2025,04.12.2025
46,4233,Не зайшов,,,46,,4260,Обіцяв бути,---,05.12.2025
47,4234,Не зайшов,,,47,,4262,Обіцяв бути,---,05.12.2025
48,4238,Не зайшов,,,48,,4263,Обіцяв бути,---,05.12.2025
49,4240,Не зайшов,,,49,,4269,Обіцяв бути,---,05.12.2025
50,4241,Не зайшов,,,50,,4270,Обіцяв бути,---,05.12.2025
51,4242,Не зайшов,,,51,,4277,Обіцяв бути,---,08.12.2025
52,4260,Не зайшов,,,52,,4286,Обіцяв бути,---,08.12.2025
53,4262,Не зайшов,,,53,,4287,Обіцяв бути,---,08.12.2025
54,4263,Не зайшов,,,54,,4292,Обіцяв бути,---,08.12.2025
55,4269,Не зайшов,,,55,,4294,Обіцяв бути,---,09.12.2025
56,4270,Не зайшов,,,56,,4295,Обіцяв бути,---,09.12.2025
57,4277,Не зайшов,,,57,,4309,Обіцяв бути,---,09.12.2025
58,4286,Не зайшов,,,58,,4315,Обіцяв бути,---,10.12.2025
59,4287,Не зайшов,,,59,,4319,Обіцяв бути,---,10.12.2025
60,4292,Не зайшов,,,60,,4328,Обіцяв бути,---,11.12.2025
61,4294,Не зайшов,,,61,,4333,Обіцяв бути,---,11.12.2025
62,4295,Не зайшов,,,62,,4338,Обіцяв бути,---,11.12.2025
63,4309,Не зайшов,,,63,,4339,Обіцяв бути,---,11.12.2025
64,4315,Не зайшов,,,64,,4354,Обіцяв бути,---,12.12.2025
65,4319,Не зайшов,,,65,,4360,Обіцяв бути,---,12.12.2025
66,4328,Не зайшов,,,66,,4363,Обіцяв бути,---,15.12.2025
67,4333,Не зайшов,,,67,,4371,Обіцяв бути,---,15.12.2025
68,4338,Не зайшов,,,68,,4373,Обіцяв бути,---,15.12.2025
69,4339,Не зайшов,,,69,,4390,Обіцяв бути,---,16.12.2025
70,4354,Не зайшов,,,70,,4394,Обіцяв бути,---,16.12.2025
71,4356,Відклав візит,,,71,,4396,Обіцяв бути,---,17.12.2025
72,4360,Не зайшов,,,72,,4406,Обіцяв бути,---,17.12.2025
73,4363,Не зайшов,,,73,,4407,Обіцяв бути,---,18.12.2025
74,4371,Не зайшов,,,74,,4417,Обіцяв бути,---,18.12.2025
75,4373,Не зайшов,,,75,,4421,Обіцяв бути,---,18.12.2025
76,4377,Відклав візит,,,76,,4424,Обіцяв бути,---,18.12.2025
77,4390,Не зайшов,,,77,,4427,Обіцяв бути,---,19.12.2025
78,4394,Не зайшов,,,78,,4440,Обіцяв бути,---,19.12.2025
79,4396,Не зайшов,,,79,,4444,Обіцяв бути,---,22.12.2025
80,4406,Не зайшов,,,80,,4459,Обіцяв бути,---,23.12.2025
81,4407,Не зайшов,,,81,,4470,Обіцяв бути,---,23.12.2025
82,4417,Не зайшов,,,82,,4473,Обіцяв бути,---,23.12.2025
83,4421,Не зайшов,,,83,,4476,Обіцяв бути,---,24.12.2025
84,4424,Не зайшов,,,84,,4484,Обіцяв бути,---,24.12.2025
85,4427,Не зайшов,,,85,,4485,Обіцяв бути,---,24.12.2025
86,4440,Не зайшов,,,86,,4486,Обіцяв бути,---,24.12.2025
87,4444,Не зайшов,,,87,,4491,Відклав візит,31.12.2025,24.12.2025
88,4457,Відклав візит,,,88,,4496,Обіцяв бути,---,25.12.2025
89,4459,Не зайшов,,,89,,4499,Обіцяв бути,---,25.12.2025
90,4470,Не зайшов,,,90,,4501,Обіцяв бути,---,25.12.2025
91,4473,Не зайшов,,,91,,4504,Обіцяв бути,---,26.12.2025
92,4476,Не зайшов,,,92,,4514,Обіцяв бути,---,26.12.2025
93,4484,Не зайшов,,,93,,4517,Обіцяв бути,---,29.12.2025
94,4485,Не зайшов,,,94,,4541,Обіцяв бути,---,30.12.2025
95,4486,Не зайшов,,,95,,4554,Обіцяв бути,---,30.12.2025
96,4491,Не зайшов,,,96,,4560,Обіцяв бути,---,31.12.2025
97,4496,Не зайшов,,,97,,4566,Обіцяв бути,---,31.12.2025
98,4499,Не зайшов,,,98,,4567,Обіцяв бути,---,31.12.2025
99,4501,Не зайшов,,,99,,4571,Обіцяв бути,---,31.12.2025
100,4504,Не зайшов,,,100,,4572,Обіцяв бути,---,31.12.2025
101,4517,Не зайшов,,,101,,4573,Обіцяв бути,---,31.12.2025
102,4541,Не зайшов,,,102,,4575,Обіцяв бути,---,31.12.2025
103,4554,Не зайшов,,,103,,4577,Обіцяв бути,---,31.12.2025
104,4560,Не зайшов,,,104,,4580,Обіцяв бути,---,01.01.2026
105,4566,Не зайшов,,,105,,4584,Обіцяв бути,---,01.01.2026
106,4567,Не зайшов,,,106,,4586,Обіцяв бути,---,01.01.2026
107,4571,Не зайшов,,,107,,4598,Обіцяв бути,---,02.01.2026
108,4572,Не зайшов,,,108,,4600,Обіцяв бути,---,02.01.2026
109,4573,Не зайшов,,,109,,4605,Обіцяв бути,---,02.01.2026
110,4575,Не зайшов,,,110,,4606,Обіцяв бути,---,02.01.2026
111,4577,Не зайшов,,,111,,4607,Обіцяв бути,---,02.01.2026
112,4580,Не зайшов,,,112,,4613,Обіцяв бути,---,05.01.2026
113,4584,Не зайшов,,,113,,4623,Обіцяв бути,---,05.01.2026
114,4586,Не зайшов,,,114,,4625,Обіцяв бути,---,05.01.2026
115,4598,Не зайшов,,,115,,4629,Обіцяв бути,---,06.01.2026
116,4605,Не зайшов,,,116,,4635,Обіцяв бути,---,06.01.2026
117,4606,Не зайшов,,,117,,4637,Обіцяв бути,---,08.01.2026
118,4613,Не зайшов,,,118,,4674,Обіцяв бути,---,08.01.2026
119,4623,Не зайшов,,,119,,4675,Обіцяв бути,---,12.01.2026
120,4625,Не зайшов,,,120,,4704,Обіцяв бути,---,13.01.2026
121,4629,Не зайшов,,,121,,4723,Обіцяв бути,---,13.01.2026
