"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,24.11.2025 (9:00 - 14:00),,,Поточний прийом:,,25.11.2025 (Вихідний)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,1911,Зайшов,,,1
2,3569,Зайшов,,,2
3,3837,Зайшов,,,3
4,3943,Зайшов,,,4
5,4032,Зайшов,Остання спроба,,5
6,4049,Зайшов,,,6
7,4072,Зайшов,Остання спроба,,7
8,4074,Зайшов,Остання спроба,,8
9,4093,Зайшов,,,9
10,4098,Зайшов,,,10
11,4103,Не з'явився,п.8,,11
12,4115,Зайшов,,,12
13,4128,Не з'явився,п.8,,13
14,4132,Не з'явився,п.8,,14
15,4134,Скасував,п.8,,15
16,4135,Не з'явився,п.8,,16
17,4136,Скасував,п.8,,17
18,4137,Скасував,п.8,,18
19,4142,Не з'явився,п.8,,19
20,4144,Не з'явився,п.8,,20
21,4146,Не з'явився,п.8,,21
22,4148,Зайшов,,,22
23,4150,Відклав візит,п.8,,23
24,4152,Зайшов,,,24
25,4161,Не зайшов,,,25
26,4162,Не зайшов,,,26
27,4170,Не зайшов,,,27
28,4171,Не зайшов,,,28
29,4177,Не зайшов,,,29
30,4183,Не зайшов,,,30
31,4185,Зайшов (за живою чергою),,,31
32,4193,Не зайшов,,,32
33,4194,Не зайшов,,,33
34,4197,Не зайшов,,,34
35,4206,Не зайшов,,,35
36,4218,Не зайшов,,,36
37,4223,Не зайшов,,,37
38,4228,Не зайшов,,,38
39,4233,Не зайшов,,,39
40,4234,Не зайшов,,,40
41,4238,Не зайшов,,,41
42,4240,Не зайшов,,,42
43,4241,Не зайшов,,,43
44,4242,Не зайшов,,,44
45,4244,Не зайшов,,,45
46,4260,Не зайшов,,,46
47,4262,Не зайшов,,,47
48,4263,Не зайшов,,,48
49,4269,Не зайшов,,,49
50,4270,Не зайшов,,,50
51,4277,Не зайшов,,,51
52,4286,Не зайшов,,,52
53,4287,Не зайшов,,,53
54,4292,Не зайшов,,,54
55,4294,Не зайшов,,,55
56,4295,Не зайшов,,,56
57,4309,Не зайшов,,,57
58,4315,Не зайшов,,,58
59,4319,Не зайшов,,,59
60,4328,Не зайшов,,,60
61,4333,Не зайшов,,,61
62,4338,Не зайшов,,,62
63,4339,Не зайшов,,,63
64,4354,Не зайшов,,,64
65,4360,Не зайшов,,,65
66,4363,Не зайшов,,,66
67,4371,Не зайшов,,,67
68,4373,Не зайшов,,,68
69,4390,Не зайшов,,,69
70,4394,Не зайшов,,,70
71,4406,Не зайшов,,,71
72,4407,Не зайшов,,,72
73,4417,Не зайшов,,,73
74,4421,Не зайшов,,,74
75,4424,Не зайшов,,,75
76,4427,Не зайшов,,,76
77,4440,Не зайшов,,,77
78,4444,Не зайшов,,,78
79,4459,Не зайшов,,,79
80,4470,Не зайшов,,,80
81,4473,Не зайшов,,,81
82,4476,Не зайшов,,,82
83,4484,Не зайшов,,,83
84,4485,Не зайшов,,,84
85,4486,Не зайшов,,,85
86,4491,Не зайшов,,,86
87,4496,Не зайшов,,,87
88,4499,Не зайшов,,,88
89,4501,Не зайшов,,,89
90,4504,Не зайшов,,,90
91,4514,Не зайшов,,,91
92,4517,Не зайшов,,,92
93,4541,Не зайшов,,,93
94,4554,Не зайшов,,,94
95,4560,Не зайшов,,,95
96,4566,Не зайшов,,,96
97,4567,Не зайшов,,,97
98,4571,Не зайшов,,,98
99,4572,Не зайшов,,,99
100,4573,Не зайшов,,,100
101,4575,Не зайшов,,,101
102,4577,Не зайшов,,,102
103,4580,Не зайшов,,,103
104,4584,Не зайшов,,,104
105,4586,Не зайшов,,,105
106,4598,Не зайшов,,,106
107,4600,Не зайшов,,,107
108,4605,Не зайшов,,,108
109,4606,Не зайшов,,,109
110,4607,Не зайшов,,,110
111,4613,Не зайшов,,,111
112,4623,Не зайшов,,,112
113,4625,Не зайшов,,,113
114,4629,Не зайшов,,,114
115,4635,Зайшов (за живою чергою),,,115
116,4637,Не зайшов,,,116
117,4674,Не зайшов,,,117
118,4675,Не зайшов,,,118
119,4704,Не зайшов,,,119
120,4723,Не зайшов,,,120
121,4724,Не зайшов,,,121
122,4731,Не зайшов,,,122
123,4755,Не зайшов,,,123
124,4780,Не зайшов,,,124
125,4786,Не зайшов,,,125
126,4788,Не зайшов,,,126
127,4789,Не зайшов,,,127
128,4791,Не зайшов,,,128
129,4795,Не зайшов,,,129
130,4798,Не зайшов,,,130
131,4807,Не зайшов,,,131
132,4815,Не зайшов,,,132
133,4820,Не зайшов,,,133
134,4825,Не зайшов,,,134
135,4858,Не зайшов,,,135
136,4869,Не зайшов,,,136
137,4902,Не зайшов,,,137
138,4954,Зайшов (за живою чергою),,,138
139,4960,Не зайшов,,,139
140,4965,Не зайшов,,,140
141,4977,Зайшов (за живою чергою),,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
