"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,28.11.2025 (9:00 - 14:00),,,Поточний прийом:,,01.12.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3661,Не з'явився,В кінець черги,,1,,3560,Обіцяв бути,---
2,3973,Не з'явився,п.8,,2,Остання спроба,3973,Обіцяв бути,---
3,3995,Зайшов,,,3,,4017,Обіцяв бути,---
4,4045,Зайшов,,,4,,4062,Обіцяв бути,---
5,4099,Зайшов,,,5,,4081,Обіцяв бути,---
6,4103,Зайшов,Остання спроба,,6,,4112,Обіцяв бути,---
7,4104,Зайшов,,,7,,4113,Обіцяв бути,---
8,4111,Зайшов,,,8,,4118,Обіцяв бути,---
9,4124,Зайшов,,,9,,4150,Обіцяв бути,---
10,4128,Зайшов,Остання спроба,,10,,4162,Відклав візит,10.12.2025
11,4130,Зайшов,,,11,,4170,Обіцяв бути,---,02.12.2025
12,4132,Не з'явився,В кінець черги,,12,,4171,Обіцяв бути,---,02.12.2025
13,4142,Не з'явився,В кінець черги,,13,,4176,Відклав візит,10.12.2025,02.12.2025
14,4144,Не з'явився,В кінець черги,,14,,4177,Обіцяв бути,---,02.12.2025
15,4146,Не з'явився,В кінець черги,,15,,4183,Обіцяв бути,---,02.12.2025
16,4161,Зайшов,,,16,,4193,Обіцяв бути,---,03.12.2025
17,4167,Зайшов,,,17,,4194,Обіцяв бути,---,03.12.2025
18,4168,Зайшов,,,18,,4196,Обіцяв бути,---,03.12.2025
19,4170,Не зайшов,,,19,,4197,Обіцяв бути,---,03.12.2025
20,4171,Не зайшов,,,20,,4206,Обіцяв бути,---,04.12.2025
21,4175,Відклав візит,,,21,,4218,Обіцяв бути,---,04.12.2025
22,4177,Не зайшов,,,22,,4223,Обіцяв бути,---,05.12.2025
23,4183,Не зайшов,,,23,,4228,Обіцяв бути,---,05.12.2025
24,4193,Не зайшов,,,24,,4233,Обіцяв бути,---,05.12.2025
25,4194,Не зайшов,,,25,,4234,Обіцяв бути,---,05.12.2025
26,4196,Не зайшов,,,26,,4238,Обіцяв бути,---,05.12.2025
27,4197,Не зайшов,,,27,,4240,Обіцяв бути,---,05.12.2025
28,4206,Не зайшов,,,28,,4241,Обіцяв бути,---,08.12.2025
29,4218,Не зайшов,,,29,,4260,Обіцяв бути,---,09.12.2025
30,4223,Не зайшов,,,30,,4262,Обіцяв бути,---,09.12.2025
31,4228,Не зайшов,,,31,,4263,Обіцяв бути,---,09.12.2025
32,4233,Не зайшов,,,32,,4269,Обіцяв бути,---,09.12.2025
33,4234,Не зайшов,,,33,,4270,Обіцяв бути,---,09.12.2025
34,4238,Не зайшов,,,34,,4275,Обіцяв бути,---,09.12.2025
35,4240,Не зайшов,,,35,,4277,Обіцяв бути,---,10.12.2025
36,4241,Не зайшов,,,36,,4286,Обіцяв бути,---,10.12.2025
37,4242,Не зайшов,,,37,,4287,Обіцяв бути,---,10.12.2025
38,4260,Не зайшов,,,38,,4292,Обіцяв бути,---,10.12.2025
39,4262,Не зайшов,,,39,,4294,Обіцяв бути,---,10.12.2025
40,4263,Не зайшов,,,40,,4295,Обіцяв бути,---,11.12.2025
41,4269,Не зайшов,,,41,,4308,Обіцяв бути,---,11.12.2025
42,4270,Не зайшов,,,42,,4309,Обіцяв бути,---,11.12.2025
43,4277,Не зайшов,,,43,,4314,Обіцяв бути,---,12.12.2025
44,4278,Відклав візит,,,44,,4315,Обіцяв бути,---,12.12.2025
45,4286,Не зайшов,,,45,,4319,Обіцяв бути,---,12.12.2025
46,4287,Не зайшов,,,46,,4328,Обіцяв бути,---,12.12.2025
47,4292,Не зайшов,,,47,,4332,Обіцяв бути,---,15.12.2025
48,4294,Не зайшов,,,48,,4333,Обіцяв бути,---,15.12.2025
49,4295,Не зайшов,,,49,,4335,Обіцяв бути,---,15.12.2025
50,4308,Не зайшов,,,50,,4338,Обіцяв бути,---,15.12.2025
51,4309,Не зайшов,,,51,,4339,Обіцяв бути,---,15.12.2025
52,4315,Не зайшов,,,52,,4354,Обіцяв бути,---,16.12.2025
53,4319,Не зайшов,,,53,,4359,Обіцяв бути,---,16.12.2025
54,4328,Не зайшов,,,54,,4360,Обіцяв бути,---,16.12.2025
55,4333,Не зайшов,,,55,,4363,Обіцяв бути,---,16.12.2025
56,4338,Не зайшов,,,56,,4365,Відклав візит,23.12.2025,16.12.2025
57,4339,Не зайшов,,,57,,4371,Обіцяв бути,---,17.12.2025
58,4354,Не зайшов,,,58,,4373,Обіцяв бути,---,17.12.2025
59,4360,Не зайшов,,,59,,4390,Обіцяв бути,---,18.12.2025
60,4363,Не зайшов,,,60,,4394,Обіцяв бути,---,18.12.2025
61,4371,Не зайшов,,,61,,4396,Обіцяв бути,---,18.12.2025
62,4373,Не зайшов,,,62,,4406,Обіцяв бути,---,19.12.2025
63,4390,Не зайшов,,,63,,4407,Обіцяв бути,---,19.12.2025
64,4394,Не зайшов,,,64,,4417,Обіцяв бути,---,19.12.2025
65,4396,Не зайшов,,,65,,4421,Обіцяв бути,---,22.12.2025
66,4406,Не зайшов,,,66,,4424,Обіцяв бути,---,22.12.2025
67,4407,Не зайшов,,,67,,4427,Обіцяв бути,---,22.12.2025
68,4417,Не зайшов,,,68,,4440,Обіцяв бути,---,23.12.2025
69,4421,Не зайшов,,,69,,4443,Обіцяв бути,---,23.12.2025
70,4424,Не зайшов,,,70,,4444,Обіцяв бути,---,23.12.2025
71,4427,Не зайшов,,,71,,4459,Обіцяв бути,---,24.12.2025
72,4437,Скасував,,,72,,4464,Обіцяв бути,---,24.12.2025
73,4440,Не зайшов,,,73,,4470,Обіцяв бути,---,24.12.2025
74,4444,Не зайшов,,,74,,4473,Обіцяв бути,---,24.12.2025
75,4457,Скасував,,,75,,4476,Обіцяв бути,---,25.12.2025
76,4459,Не зайшов,,,76,,4484,Обіцяв бути,---,25.12.2025
77,4469,Скасував,,,77,,4485,Обіцяв бути,---,25.12.2025
78,4470,Не зайшов,,,78,,4486,Обіцяв бути,---,25.12.2025
79,4473,Не зайшов,,,79,,4491,Відклав візит,31.12.2025,25.12.2025
80,4476,Не зайшов,,,80,,4492,Обіцяв бути,---,25.12.2025
81,4484,Не зайшов,,,81,,4496,Обіцяв бути,---,26.12.2025
82,4485,Не зайшов,,,82,,4499,Обіцяв бути,---,26.12.2025
83,4486,Не зайшов,,,83,,4501,Обіцяв бути,---,26.12.2025
84,4491,Не зайшов,,,84,,4502,Обіцяв бути,---,26.12.2025
