"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,03.12.2025 (9:00 - 14:00),,,Поточний прийом:,,04.12.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
1,3568,Не з'явився,п.8,,1,Остання спроба,3568,Обіцяв бути,---
2,3993,Зайшов,,,2,,3707,Обіцяв бути,---
3,4051,Зайшов,,,3,,3933,Обіцяв бути,---
4,4085,Не з'явився,п.8,,4,,3954,Обіцяв бути,---
5,4094,Зайшов,,,5,Остання спроба,4009,Обіцяв бути,---
6,4096,Зайшов,,,6,Остання спроба,4085,Обіцяв бути,---
7,4105,Відклав візит,,,7,Остання спроба,4112,Обіцяв бути,---
8,4112,Не зайшов,Остання спроба,,8,,4126,Обіцяв бути,---
9,4121,Відклав візит,,,9,,4129,Обіцяв бути,---
10,4129,Не зайшов,,,10,,4170,Обіцяв бути,---,05.12.2025
11,4135,Відклав візит,Остання спроба,,11,,4171,Обіцяв бути,---,05.12.2025
12,4170,Не зайшов,,,12,,4177,Обіцяв бути,---,05.12.2025
13,4171,Не зайшов,,,13,,4183,Обіцяв бути,---,05.12.2025
14,4177,Не зайшов,,,14,,4193,Обіцяв бути,---,08.12.2025
15,4183,Не зайшов,,,15,,4194,Обіцяв бути,---,08.12.2025
16,4193,Не зайшов,,,16,,4196,Обіцяв бути,---,08.12.2025
17,4194,Не зайшов,,,17,,4197,Обіцяв бути,---,08.12.2025
18,4196,Не зайшов,,,18,,4206,Обіцяв бути,---,09.12.2025
19,4197,Не зайшов,,,19,,4218,Обіцяв бути,---,09.12.2025
20,4206,Не зайшов,,,20,,4223,Обіцяв бути,---,10.12.2025
21,4218,Не зайшов,,,21,,4228,Обіцяв бути,---,10.12.2025
22,4223,Не зайшов,,,22,,4233,Обіцяв бути,---,10.12.2025
23,4228,Не зайшов,,,23,,4234,Обіцяв бути,---,10.12.2025
24,4233,Не зайшов,,,24,,4238,Обіцяв бути,---,11.12.2025
25,4234,Не зайшов,,,25,,4240,Обіцяв бути,---,11.12.2025
26,4238,Не зайшов,,,26,,4241,Обіцяв бути,---,11.12.2025
