"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,09.12.2025 (9:00 - 14:00),,,Поточний прийом:,,10.12.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту,Перевірка,Примітки,"ID
(номер первинної черги)",Альтернативний калькулятор дати
1,3821,Не з'явився,В кінець черги,,1,,3951,Обіцяв бути,---,,Записаний 7,,3951,10.12.2025
2,3962,Зайшов,,,2,,4107,Обіцяв бути,---,,Записаний 8,,4107,10.12.2025
3,3983,Зайшов,,,3,Остання спроба,4153,Обіцяв бути,---,,Попередній 9,Остання спроба,4153,10.12.2025
4,4065,Зайшов,,,4,,4156,Обіцяв бути,---,,Записаний 9,,4156,10.12.2025
5,4076,Зайшов,,,5,,4162,Обіцяв бути,---,,Записаний 10,,4162,10.12.2025
6,4105,Зайшов,,,6,,4176,Обіцяв бути,---,,Записаний 11,,4176,10.12.2025
7,4135,Зайшов,Остання спроба,,7,Остання спроба,4222,Обіцяв бути,---,,Записаний 12,Остання спроба,4222,10.12.2025
8,4143,Зайшов,,,8,Остання спроба,4262,Обіцяв бути,---,,Попередній 24,Остання спроба,4262,10.12.2025
9,4153,Не з'явився,п.8,,9,Остання спроба,4263,Обіцяв бути,---,,Записаний 13,Остання спроба,4263,11.12.2025
10,4197,Не з'явився,В кінець черги,,10,Остання спроба,4269,Обіцяв бути,---,,Попередній 25,Остання спроба,4269,12.12.2025
11,4204,Зайшов,,,11,Остання спроба,4270,Обіцяв бути,---,,Попередній 26,Остання спроба,4270,12.12.2025
12,4206,Не з'явився,В кінець черги,,12,,4271,Обіцяв бути,---,,Записаний 14,,4271,12.12.2025
13,4212,Зайшов,,,13,Остання спроба,4275,Обіцяв бути,---,,Попередній 27,Остання спроба,4275,12.12.2025
14,4218,Не з'явився,В кінець черги,,14,Остання спроба,4277,Обіцяв бути,---,,Попередній 28,Остання спроба,4277,19.12.2025
15,4223,Не з'явився,В кінець черги,,15,,4286,Обіцяв бути,---,10.12.2025,Попередній 29,,4286,19.12.2025
16,4228,Не з'явився,В кінець черги,,16,,4287,Обіцяв бути,---,10.12.2025,Попередній 30,,4287,19.12.2025
17,4233,Не з'явився,В кінець черги,,17,,4290,Обіцяв бути,---,10.12.2025,Записаний 15,,4290,22.12.2025
18,4234,Не з'явився,В кінець черги,,18,,4292,Обіцяв бути,---,10.12.2025,Попередній 31,,4292,24.12.2025
19,4238,Не з'явився,В кінець черги,,19,,4294,Обіцяв бути,---,10.12.2025,Попередній 32,,4294,24.12.2025
20,4240,Не з'явився,В кінець черги,,20,,4295,Обіцяв бути,---,10.12.2025,Попередній 33,,4295,24.12.2025
21,4241,Не з'явився,В кінець черги,,21,,4308,Обіцяв бути,---,11.12.2025,Попередній 35,,4308,25.12.2025
