"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,12.12.2025 (9:00 - 14:00),,,Поточний прийом:,,15.12.2025 (вихідний)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту,Перевірка,Примітки,"ID
(номер первинної черги)",Альтернативний калькулятор дати
1,3969,Зайшов,,,1,,,,,,,відсутній зв'язок з helsi,4291,#REF!
2,4127,Зайшов,,,2,,,,,,,відсутній зв'язок з helsi,4312
3,4189,Зайшов,,,3,,,,,,,,4357
4,4232,Зайшов,,,4,,,,,,,,4360
5,4268,Відклав візит,,,5,,,,,,,,4366
6,4291,Не зайшов,відсутній зв'язок з helsi,,6,,,,,,,,4390
7,4309,Зайшов,,,7,,,,,,,,4396
8,4312,Не зайшов,відсутній зв'язок з helsi,,8,,,,,,,,4407
9,4338,Не з'явився,В кінець черги,,9,,,,,,,,4416
10,4339,Не з'явився,В кінець черги,,10,,,,,,,,4417
11,4355,Зайшов,,,11,,,,,,,,4424
12,4357,Не зайшов,,,12,,,,,,,,4427
13,4360,Не зайшов,,,13,,,,,,,,4440
14,4366,Не зайшов,,,14,,,,,,,,4443
15,4390,Не зайшов,,,15,,,,,,,,4444
16,4394,Відклав візит,,,16,,,,,,,,4473
17,4396,Не зайшов,,,17,,,,,,,,4476
18,4407,Не зайшов,,,18,,,,,,,,4484
19,4416,Не зайшов,,,19,,,,,,,,4485
20,4417,Не зайшов,,,20,,,,,,,,4486
21,4424,Не зайшов,,,21,,,,,,,,4492
22,4427,Не зайшов,,,22,,,,,,,,4496
23,4440,Не зайшов,,,23,,,,,,,,4501
24,4443,Не зайшов,,,24,,,,,,,,4502
25,4444,Не зайшов,,,25,,,,,,,,4504
26,4473,Не зайшов,,,26,,,,,,,,4506
27,4476,Не зайшов,,,27,,,,,,,,4514
28,4484,Не зайшов,,,28,,,,,,,,4517
29,4485,Не зайшов,,,29,,,,,,,,4521
30,4486,Не зайшов,,,30,,,,,,,,4535
31,4492,Не зайшов,,,31,,,,,,,,4538
32,4496,Не зайшов,,,32,,,,,,,,4541
33,4501,Не зайшов,,,33,,,,,,,,4546
34,4502,Не зайшов,,,34,,,,,,,,4554
35,4504,Не зайшов,,,35,,,,,,,,4560
36,4506,Не зайшов,,,36,,,,,,,,4566
37,4514,Не зайшов,,,37,,,,,,,,4571
38,4517,Не зайшов,,,38,,,,,,,,4572
39,4521,Не зайшов,,,39,,,,,,,,4575
40,4535,Не зайшов,,,40,,,,,,,,4577
41,4538,Не зайшов,,,41,,,,,,,,4580
42,4541,Не зайшов,,,42,,,,,,,,4583
43,4546,Не зайшов,,,43,,,,,,,,4584
44,4554,Не зайшов,,,44,,,,,,,,4586
45,4560,Не зайшов,,,45,,,,,,,,4587
46,4566,Не зайшов,,,46,,,,,,,,4600
47,4571,Не зайшов,,,47,,,,,,,,4607
48,4572,Не зайшов,,,48,,,,,,,,4609
49,4575,Не зайшов,,,49,,,,,,,,4618
50,4577,Не зайшов,,,50,,,,,,,,4623
51,4580,Не зайшов,,,51,,,,,,,,4624
52,4583,Не зайшов,,,52,,,,,,,,4625
53,4584,Не зайшов,,,53,,,,,,,,4629
54,4586,Не зайшов,,,54,,,,,,,,4632
55,4587,Не зайшов,,,55,,,,,,,,4637
56,4600,Не зайшов,,,56,,,,,,,,4656
57,4607,Не зайшов,,,57,,,,,,,,4674
58,4609,Не зайшов,,,58,,,,,,,,4675
59,4618,Не зайшов,,,59,,,,,,,,4680
60,4623,Не зайшов,,,60,,,,,,,,4703
61,4624,Не зайшов,,,61,,,,,,,,4704
62,4625,Не зайшов,,,62,,,,,,,,4706
